ref_response_question,num_samples
would you like me to find another restaurant for you?,4
would you like me to find another place with lower prices?,4
would you like some more information on them?,4
are you interested in a reservation?,4
are you interested in a booking?,4
should i look for another option?,4
is there any other information you need?,4
want to book a room?,4
would you like me to book a table for you there?,4
would you like help with booking a table?,4
would you like help booking it?,4
would you like a room?,4
would you like a reservation there?,4
is there anything else you'd like to know about it?,4
would you like me to find another option for you?,4
would you like to look somewhere else?,4
do you want to change your reservation?,4
do you want to explore some other options?,4
do you want to know anything else about it?,4
will that still work for you?,3
want to book a reservation?,3
do you want to know anything else about the restaurant?,3
would you like me to book you a reservation?,3
 anything else you would like to know?,3
want to stay there?,3
what else can i tell you about them?,3
what is your budget?,3
is that okay?,3
would you like information on anything else?,3
"sounds nice, right?",3
would you like to know more about either place?,3
will that work for you or should i find another option?,3
would you like help in booking it?,3
would you like help in booking a table?,3
would you like any more information?,3
can i book it for you?,3
would you like some more information about it?,3
would you like me to book you?,3
would you like me to check on availability?,3
would you like me to look into some other places?,3
does that sound good?,3
is there anything else i can find out for you?,3
is there anything else i can help with?,3
is there anything else that you need?,3
is there anything else you need?,3
would you like me to help you make a reservation?,3
is here anything else you'd like to know about them?,3
does that work for you?,3
would you like to change your reservation?,3
would you like me to reserve a table there for you?,3
shall i check on availability for you?,3
would you like me to check out some other places?,3
would you like me to find another place in the same vicinity?,3
would you like me to reserve you a table?,3
do you want to make a reservation there or do you need more information?,3
would you like me to see if they have a larger room available?,3
would you like me to find a restaurant with better views?,3
would you like to give them a shot?,3
would you like me to try another place?,3
do you want to look at other places?,3
should i search for a better option for you?,3
would you like me to make reservations for you?,3
would you like more information about the restaurant?,3
can i answer anything else about the restaurant for you?,3
are you interested in a room?,3
are you interested in making a reservation there?,3
would you still like to make a reservation?,3
are there any other questions that i can answer for you today?,3
anything else i can do for you?,3
are there any other questions that i can help you with today?,3
can i answer any other questions about the hotel for you?,3
would you like to reserve a table?,3
would you like to look at some other places?,3
would you like to look at some other options?,3
can i answer anything else about the restaurant?,3
are there any other questions that you have about the restaurant?,3
would you like to know more about them or should i look at some other places?,3
would you like to look at other options?,3
would you like to know more about them or have me check out some other places?,3
want a reservation?,2
can i answer anything else about the hotel?,2
do you have any other questions about your upcoming reservation?,2
do you have any other questions about your upcoming stay?,2
do you have any other questions at this time?,2
would you like me to find another place with better views?,2
would you like to make a reservation now?,2
would you like to know more about wagamama?,2
would you like to try them out?,2
do you have any other questions for me today?,2
want me to book it?,2
do you have any other questions i can help with?,2
anything else i can help with?,2
would you like to book a table outdoors?,2
"sounds nice, eh?",2
would you like to book a table or keep searching?,2
would you like to try a different restaurant?,2
sound good enough for you?,2
would you like me to check availability for you?,2
are you interested in booking a room there?,2
would you like me to see if there is a large room available?,2
shall i book a table for you?,2
would you like me to find another place with higher ratings?,2
do you have any other questions about this location?,2
would you like me to book this for you?,2
would you like me to book a table?,2
would you like to make a reservation there now?,2
does that sound okay to you?,2
do you have any other questions about caffe uno?,2
does that sound okay for you?,2
would you like to do that?,2
does that sound ok?,2
would you like to continue with a reservation?,2
can i answer any more questions for you?,2
would you like me to reserve a table?,2
want to look elsewhere?,2
do you have any other questions about lan hong house?,2
do you have any other questions about them?,2
want to go ahead and book it?,2
do you have any other questions about thanh binh?,2
would you like me to find another place with more affordable prices?,2
would you like more information on it?,2
would you like to book this hotel?,2
would you like to book there?,2
do you have any other questions about the menu?,2
want to book a table there?,2
would you like me to book you a room there?,2
would you like me to find another place with better prices?,2
do you want to try it?,2
would you like to book a stay there?,2
anything else?,2
would you like me to find another place with better decor?,2
do you want me to make you a reservation there?,2
should i make a reservation?,2
would you like me to find a restaurant with a better view?,2
do you want me to book it for you?,2
do you want me to book you a reservation?,2
do you want to know anything more?,2
do you want me to check availability?,2
would you like me to find a restaurant in a better location?,2
would you like me to find a more quiet place?,2
can i answer any other questions or help you with anything else today?,2
would you like me to find a place with more options?,2
do you want me to make a reservation for you?,2
should i look for another option for you?,2
would you like more information about it?,2
would you like reservations?,2
would you like me to find a place that has better decor?,2
would you like me to find a place with more affordable prices?,2
do you want to book a room there tonight?,2
would you like me to find a place with higher ratings?,2
would you like me to find a place with a better location?,2
should i go ahead and make a reservation?,2
would you like me to find a place with a better view?,2
would you like me to find a place with a higher rating for indoor decor?,2
would you like more information on the restaurant?,2
do you want to explore other options?,2
do you want a room there?,2
would you like to try another place?,2
would you like me to see if they have a large room available?,2
do you need anything else from me?,2
do you have other questions?,2
do you need a reservation?,2
how does it sound to you?,2
would you like to book a room at this time?,2
shall i search for another option for you?,2
do you need any more information about the restaurant?,2
do you want to make a reservation anyway?,2
can i answer any other questions about the guest house for you?,2
do you need any other information about the restaurant?,2
would you like to look at another location?,2
do you need anymore information?,2
would you like me to check out another place?,2
do you want to look at another place?,2
do you need assistance with anything else?,2
should i search for another option?,2
do you need help with booking?,2
should i book a reservation?,2
would you like me to find another place in the same area?,2
do you want to look at some other locations?,2
do you still want a reservation there?,2
do you want a booking?,2
would you like the phone number for the hotel so that you can contact them directly?,2
would you like the phone number for the hotel so that you can ask them directly?,2
should i proceed to make a reservation?,2
do you have any more questions i can help you with?,2
are there any other questions that i can help you with?,2
would you like to find out more about them?,2
would you like to know more about the acorn?,2
would you like help with booking?,2
can i book it?,2
 do you want to make a reservation there?,2
would you like to know anything else or do you want a reservation?,2
can i book a stay for you?,2
would you be interested in a reservation?,2
can i reserve a room for you?,2
would you like me to find out more about them?,2
would you like me to assist you in making a reservation?,2
would you like to know anything else about the hotel?,2
is there anything else you'd like to know anything else about them?,2
can i be of further assistance?,2
is there anything else?,2
would you like to know more about the archway?,2
would you like another option?,2
is there anything else i can do for you today?,2
is there anything else i can assist you with?,2
would you like me to make you a reservation there?,2
would you like to know more about them or book a table?,2
would you like further information?,2
would you like help booking a table?,2
would you like to know more about the worth house?,2
are you interested?,2
would you like to know more about curry prince?,2
can i find out any more information for you?,2
would you like me to get more information about them?,2
will that work or should i look for something else?,2
will that work or would you like to try another restaurant?,2
would you like to know more about rosa's?,2
is that okay with you?,2
is there anything else you need to know about the guest house?,2
would you like to know more about any of these places?,2
would you like me to look at some other places?,2
is there anything else you need to know about the acorn guest house?,2
would you like to know more about the menu?,2
which one sounds better to you?,2
are you still interested in this location?,2
would you like to give it a shot?,2
i can help you with?,2
would you like a table?,2
what else would you like to know about it?,2
are you still interested in booking a room?,2
would you like to give it a try?,2
how many people will be in your party?,2
may i book a table for you?,2
do you have additional questions?,2
what else can i help you with?,2
would you like to get a room there?,2
what else can i find out for you?,2
would you like me to look for another place with better ratings?,2
is there anything else that i can do for you at this time?,2
can i answer any additional questions for you?,2
do you have another question?,2
is there anything else that i can do for you?,2
would you like to know more about the lucky star?,2
"would you like me to find another, more quiet place?",2
 would you like to book a room?,2
would you like to know more about the dojo noodle bar?,2
is there anything else that you need to know?,2
would you still like to book here?,2
would you like me to find a place with more lively ambiance?,1
would you like me to find another option or will that work for you?,1
would you like to try another place or give this one a shot?,1
would you like me to find an asian restaurant that does?,1
would you like me to find a place with better view ratings?,1
would you like to try another location?,1
would you like me to find an option with better wifi for you?,1
would you like me to look a little further for more information on nando's food portions?,1
would you like me to find another chinese restaurant for you?,1
would you like to try elsewhere?,1
would you like me to find another place entirely?,1
would you like me to find a place with higher ratings on the food portions?,1
would you like to try another location for your stay?,1
would you like me to help you to book a table?,1
would you like to rethink your reservation?,1
would you like me to find a place with better service?,1
would you like me to help you with everything else?,1
would you like to try another chinese restaurant?,1
would you like me to look for another place in the same area?,1
would you like me to help you with anything else?,1
"would you like me to find a place with generally good, quick service?",1
would you like me to find additional information?,1
would you like me to find a place with larger portions sizes?,1
would you like me to look for a different option for you?,1
would you like to try booking a table?,1
would you like to reserve a table or look for something else?,1
would you like me to look for a place that's got a great view?,1
would you like me to find a restaurant with heartier portions of food?,1
would you like to reservation?,1
would you like me to find a third option for you?,1
would you like me to look for a place with better atmosphere ratings?,1
would you like me to look for an outdoor option elsewhere?,1
would you like me to find a place with relaxing atmosphere?,1
would you like me to find a place with more offerings?,1
would you like me to look for a place with higher ratings on food?,1
would you like to proceed with making a reservation?,1
would you like me to find a place with more non-alcoholic beverage options?,1
would you like me to find a place with really nice decor?,1
"would you like me to find a restaurant that states they have a good view of the city, specifically?",1
would you like me to look for a reservation for you?,1
would you like me to find a place with more generous portions?,1
would you like me to look at some other places for better staff reviews?,1
would you like me to look for a place with free wifi?,1
would you like me to find another place that serves croquetas?,1
would you like to search for other options?,1
would you like me to find another place with better value?,1
would you like me to find another place with large serving portions?,1
"would you like me to find another, more reasonable, place?",1
would you like me to find any additional information?,1
would you like me to find another place with large portions?,1
would you like me to find any more information about it?,1
would you like me to find other options?,1
would you like me to find out a little more about their portions?,1
would you like me to find out any other information for you?,1
would you like me to find another place with generous portions?,1
would you like me to find out more about it?,1
would you like to try a different option?,1
would you like me to find out more about the drinks?,1
would you like to take a chance and make a reservation?,1
would you like me to find out more about the portion sizes?,1
would you like me to find out more about their portions?,1
would you like to try a different hotel?,1
would you like me to find another restaurant?,1
would you like me to find another place with more affordable prices that serves kung pao chicken?,1
would you like me to find another restaurant with better decor?,1
would you like to take a look at one of the other restaurants?,1
would you like me to find another restaurant that's got a better view?,1
would you like me to find another restaurant or would you like more information about nandos?,1
would you like me to find another restaurant in a different area?,1
would you like me to find another restaurant with a better reviews on their decor?,1
would you like to to find a comparable place that does?,1
would you like to to find out more about their entree sizes?,1
would you like me to find another place with more interesting decor?,1
would you like me to find another place with more upscale decor?,1
would you like me to find another restaurant with better portion reviews?,1
would you like me to find another place with more to choose from?,1
would you like me to find another restaurant with lower prices?,1
would you like me to find another restaurant with more highly-rated quiche?,1
would you like me to find another place with more options?,1
would you like me to find out more about this?,1
would you like to try a different place?,1
would you like me to help you make a reservation for this location?,1
would you like me to find out more for you?,1
would you like me to find another place with a better view?,1
would you like me to get some better information about the portion sizes?,1
would you like me to find another place with a better location?,1
would you like me to find another restaurant that serves larger portions?,1
would you like to see about making a reservation?,1
would you like me to find another place that has better reviews on the noise level?,1
would you like me to go ahead and book a reservation for you?,1
would you like me to find another place or would you like to know more about kirkwood house?,1
would you like me to go ahead and book your table?,1
would you like me to find another place or would you like to know more about cityoomz?,1
would you like me to help you book a table?,1
would you like me to find another place or does that sound like a place you'd like to go?,1
would you like me to find another place or does that sound good to you?,1
would you like me to help you book it?,1
would you like me to help you find another option?,1
would you like me to find another place with better bed ratings?,1
would you like me to get more information about it?,1
would you like me to find you another option?,1
would you like me to find another place with better reviews on bed comfort?,1
would you like me to find out more information about them?,1
would you like me to find out more information about this?,1
would you like me to find another place with better staff reviews?,1
would you like me to find another place with better staff ratings?,1
would you like me to find restaurants with higher ratings?,1
would you like me to find another place with better reviews regarding noise?,1
would you like me to find some other places with better reviews?,1
would you like me to find another place with better noise ratings?,1
would you like me to find something with a nicer view?,1
would you like to try an alternative date at the leverton for your trip?,1
would you like me to find another place with better ratings on their wifi?,1
would you like me to find another place with better ratings on portions?,1
would you like me to find another place with better ratings for bed comfort?,1
would you like to stay elsewhere?,1
would you like to know more about the lovell lodge or check into some other places?,1
would you like to try it or should i look for something else?,1
would you like me to find a place with better reviews?,1
would you like me to book a table at the restaurant for you?,1
would you like me to book a table at efes restaurant for you?,1
would you still like a reservation?,1
would you like me to book a room there?,1
would you like me to book a room there for you?,1
would you still like a room here?,1
"would you like me to book a room for you, or do have additional questions?",1
would you like me to book a room for you there?,1
would you still like a room there?,1
would you still like me to book a table for you?,1
would you like me to book a reservation for you there?,1
would you like me to a restaurant with a better view?,1
would you like me find another place that serves it?,1
would you like me check on availability?,1
would you like information on the second one?,1
would you still like me to book the hotel?,1
would you still like me to make a reservation?,1
would you like information about anything else?,1
would you like help with booking it?,1
would you like help with booking an outdoor table?,1
would you like me to book a table at restaurant one seven for you?,1
would you like me to book a table for 8 for you?,1
would you prefer to book the huntington marriott hotel?,1
would you still be interested in reserving a table?,1
would you still be interested in a table there?,1
would you still be interested in booking a room at finches?,1
would you still be interested in booking a table at cotto?,1
would you like me to book it for you or would you like more information?,1
would you like me to book for you?,1
would you like me to book a table outside for you?,1
would you like me to book a table outdoors for you?,1
would you like me to book a table or look for something else?,1
would you like me to book a table or find something else?,1
would you like me to book a table now?,1
would you like me to book a table indoors for you?,1
would you like me to book a table for your party?,1
would you still be interested in booking a table?,1
would you still be interested in making a reservation at meze bar?,1
would you still be interested in making a reservation?,1
would you like me to book a table for you outside?,1
would you like me to book a table for you inside or try a different place?,1
would you like me to book a table for you at travellers rest?,1
would you like me to book a table for you at pizza hut city centre?,1
would you still like me to reserve a table for you?,1
would you like help with anything else?,1
would you still like to book a reservation there?,1
would you like help with a reservation?,1
would you like any other information about the place?,1
would you like any other information about kirkwood house?,1
would you like any other info?,1
would you like any more information about this location?,1
would you like any more information about it?,1
would you like any further information about them?,1
would you like any further information about that option?,1
would you like additional information?,1
would you like additional information about the nirala?,1
would you like a to book a table there?,1
would you like a to book a table outdoors?,1
would you like a table there?,1
would you like a table at royal spice?,1
would you still like to try it?,1
would you like a room there?,1
wouldyou like to know more about them?,1
would you like a reservation with them?,1
wouls you like to make a reservation?,1
"would you like a reservation there, or any other information?",1
would you like any other information about the property?,1
would you like any other information about them?,1
would you still like to keep your reservation at eraina?,1
would you like for me to search for another option?,1
would you like help making a reservation?,1
would you like help in making a reservation?,1
would you still like to book a room at this location?,1
would you still like to book a table here?,1
would you like help in booking a room?,1
would you like help booking?,1
would you still like to book a table?,1
would you like help booking a room?,1
would you like for me to make a reservation?,1
would you like anything else?,1
would you like for me to book you a table?,1
would you like for me to book you a room at huntingdon marriott hotel?,1
would you like for me to book you a reservation?,1
would you like for me to book it?,1
would you like for me to book it for you?,1
would you like for me to book a table for you?,1
would you like assistance with booking a table?,1
would you like assistance in booking a room?,1
would you like me to book the gonville hotel for you?,1
would you like me to book the restaurant?,1
would you like me to find a place with better ratings on the view?,1
would you like me to find a more affordable place for you?,1
would you like me to find a different restaurant with better view reviews?,1
would you like me to find a different place?,1
would you like me to find a different option?,1
would you like me to find a comparable restaurant with better ratings?,1
would you like to try it or check out a different place?,1
would you like me to double check?,1
would you like me to look for another place with better more positive reviews?,1
would you like me to do that?,1
would you like me to check with them and see if a larger room is available?,1
would you like me to check the guesthouses in the east for wi-fi?,1
would you like me to check some other places for value?,1
would you like me to check rosa's bed and breakfast?,1
would you like to try it or should i pick another option?,1
would you like to try it out?,1
would you like me to check out some other places for you?,1
would you like me to check out other places?,1
would you like me to check out other places with better ratings?,1
would you like to try it?,1
would you like me to check one of the other options for you?,1
would you like me to find a less expensive place?,1
would you like me to find a more affordable place that serves pizza?,1
would you more information about the curry prince?,1
would you like me to find a more affordable restaurant that sells goulash?,1
would you like me to find a place with better ratings on noise?,1
would you like me to find a place with better interior decor?,1
would you like me to find a place with better indoor decor?,1
would you like me to find a place with better customer reviews?,1
would you like me to find a place that's a little more affordable?,1
would you like me to find a place that offers more variety?,1
would you like me to find a place that offers more options?,1
would you like me to find a place that is rated more highly in service?,1
would you like me to find a place that is known for big portions?,1
would you like me to find a place that has plenty of options?,1
would you like me to find a place that has more options?,1
would you like me to find a place that does have nicer views?,1
would you like me to find a place that does have large portions?,1
would you like me to find a more suitable place?,1
would you like me to find a more quiet place for you?,1
would you like me to find a more quiet hotel?,1
would you like me to find a more quiet establishment?,1
would you like me to find a more highly rated place?,1
would you like me to find a more affordable restaurant?,1
would you like me to check on the availability of the larger rooms?,1
would you like to try nandos or should i check other options?,1
would you like me to check on table availability for you?,1
would you like me to check on some other places?,1
would you like me to cancel the reservation and find another option?,1
would you like me to cancel the booking and look elsewhere?,1
would you like me to book you there?,1
would you like me to book you a table to eat outdoors?,1
would you like me to book you a table on the patio?,1
would you like me to book you a table now?,1
would you like to try this restaurant?,1
would you like me to book you a room today?,1
would you like to try to book a room?,1
would you like to try to book a table with a view?,1
would you like me to book you a room at worth house?,1
would you like me to book you a room at that hotel?,1
would you like me to book you a room at acorn guest house?,1
would you like to try to find a time that's available?,1
would you like to try to reserve a table?,1
would you like me to book you a reservation there?,1
would you like your reservation there?,1
would you like me to book the room?,1
would you like me to book the room for you?,1
would you like to try the cambridge chop house?,1
would you like me to check another japanese restaurant?,1
would you like me to check another place?,1
would you like me to check on availability for you or can i answer anything else?,1
would you like me to check on some other places with higher ratings?,1
would you like me to check on some other hotels for you?,1
would you like me to check on room availablilty?,1
would you like me to check on one of the other options?,1
would you like me to check on availability for your travel dates?,1
would you like me to check on availability for your desired date?,1
would you like me to check on availability for your dates?,1
would you like to try one of the other restaurants?,1
would you like me to check on availability at your desired time?,1
would you like to try that?,1
would you like me to check on availability and book a table for you?,1
would you like me to check on a table with a good view?,1
would you like me to check for some larger rooms?,1
would you like me to check availability?,1
would you like me to check availability or book a table for you there?,1
would you like me to check availability on your preferred nights?,1
would you like me to check availability for your preferred days?,1
would you like to try one of the other three?,1
would you like me to look for another place with a better value?,1
would you like to make any changes to your reservation?,1
would you like me to look for another place with better portion sizes?,1
would you like to book for another day or time?,1
would you like to know more about yu garden?,1
would you like to book the room?,1
would you like to book the hotel now?,1
would you like to book the gonville hotel?,1
would you like to know more about zizzi?,1
would you like to book that stay?,1
would you like to book one of them?,1
"would you like to book it, or can i answer additional questions?",1
would you like to book it for your stay?,1
would you like to book at table there?,1
would you like to know more about this restaurant?,1
would you like to book arbury lodge guesthouse?,1
would you like to book allenbell?,1
would you like to book a table tonight?,1
would you like to know more bout darry's?,1
would you like to know more bout them?,1
would you like to book a table there or get more information?,1
would you like to know more information?,1
would you like to book a table there or do you have any more questions?,1
would you like to book a table or try something else?,1
would you like to book worth house?,1
would you like to check availability?,1
would you like to find someplace else?,1
would you like to know more about them or would you like me to find another place?,1
would you like to find some other options to explore?,1
would you like to find out any other information or would you like to book a table?,1
would you like to find another place?,1
would you like to find another place that does?,1
would you like to find another hotel?,1
would you like to find a different place to stay?,1
would you like to find a different one?,1
would you like to know more about them or should i look elsewhere?,1
would you like to explore some other locations?,1
would you like to eat there?,1
would you like to check on the hotel's availability for your stay?,1
would you like to continue with your booking?,1
would you like to contact the hotel to ask them directly?,1
would you like to choose that one?,1
would you like to know more about them or would you like me to look for another place?,1
would you like to check out some other places with better reviews?,1
would you like to check out some less expensive places?,1
would you like to check out other places?,1
would you like to check out a more affordable restaurant?,1
would you like to check out a few other places with better staff reviews?,1
would you like to book a table or should i try somewhere else?,1
would you like to book a table or get more information?,1
would you like to book a table now?,1
would you like to book a reservation at hobson's house?,1
would you like to look at another hotel?,1
would you like to look at another italian restaurant instead?,1
would you like to look at another location that does?,1
would you like to look at another option instead?,1
would you like to look at another option?,1
would you like to look at another restaurant?,1
would you like to book a reservation or keep looking?,1
would you like to book a reservation or is there anything else you'd like to know?,1
would you like to look at one of the hotels in the north instead that might be quieter?,1
would you like to book a reservation at allenbell?,1
would you like to book a table indoors or should i check other restaurants?,1
would you like to book a hotel elsewhere?,1
would you like to any other information?,1
would you like their telephone number?,1
would you like their address or phone number?,1
would you like the table?,1
would you like the phone number to the hotel so that you can inquire directly with them?,1
would you like to look at one of the other indian options in the west?,1
would you like the phone number to contact the hotel directly?,1
would you like the phone number to contact the hotel directly about their wifi policies?,1
would you like to book a room at acorn guest house?,1
would you like to book a room at hobsons house?,1
would you like to book a room at kirkwood house?,1
would you like to book a room at the ashley?,1
would you like to book a table at wagamama?,1
would you like to book a table at the chiquito restaurant bar?,1
would you like to book a table at kohinoor?,1
would you like to know more or have me check elsewhere?,1
would you like to book a table at grafton hotel restaurant?,1
would you like to book a table at either restaurant?,1
would you like to book a table at either of those?,1
would you like to book a table at cow pizza kitchen and bar?,1
would you like to know more or would you like to book it?,1
would you like to know something else or can i book you?,1
would you like to look at a different dining option?,1
would you like to book a room there tonight?,1
would you like to book a room there or know anything else?,1
would you like to book a room there or do you need more information?,1
would you like to book a room there anyway?,1
would you like to book a room somewhere else?,1
would you like to book a room or for me to continue to look?,1
would you like to book a room for you there?,1
would you like to book a room at the gonville hotel?,1
would you like to find some place else?,1
would you like to find somewhere else?,1
would you like the address?,1
would you like to know more about pizza hut fen ditton?,1
would you like to know more about the acorn or check out a few other places?,1
would you like to know more about the a & b?,1
would you like to know more about saigon city's menu?,1
would you like to know more about saffron brasserie?,1
would you like to know more about restaurant alimentum?,1
would you like to know more about the place or would you like to look into some alternatives?,1
would you like to know more about rajmahal?,1
would you like to know more about prezzo?,1
would you like to know more about pizza hut?,1
would you like to know more about pizza hut cherry hinton?,1
would you like to know more about the alexander b&b or would you like to check out some other places?,1
would you like to know more about the river bar and steakhouse?,1
would you like to know more about pizza express?,1
would you like to know more about panahar?,1
would you like to know more about nandos?,1
would you like to know more about midsummer house?,1
would you like to know more about the ugly duckling?,1
would you like to know more about eraina?,1
would you like to know more about either restaurant?,1
would you like to know more about the warkworth house?,1
would you like to know more about the acorn or check out another place?,1
would you like to know more about the alexander b&b?,1
would you like to find somewhere that is more quiet?,1
would you like to know more about the either restaurant?,1
would you like to know more about the lan hong house?,1
would you like to know more about the la raza restaurant?,1
would you like to know more about the hotel?,1
would you like to know more about the goodluck?,1
would you like to know more about the gonville?,1
would you like to know more about the ghandi?,1
would you like to know more about the gandhi?,1
would you like to know more about the galleria?,1
would you like to know more about the express?,1
would you like to know more about the drink options offered there?,1
would you like to know more about the place or check out some other places?,1
would you like to know more about the cow pizza kitchen?,1
would you like to know more about the copper kettle?,1
would you like to know more about the carolina or check out the warkworth house?,1
would you like to know more about the avalon?,1
would you like to know more about the archway house?,1
would you like to know more about the allenbell?,1
would you like to know more about the allenbell or have me look elsewhere?,1
would you like to know more about the niral?,1
would you like to know more about the nirala?,1
would you like to know more about efes?,1
would you like to know more about dojo?,1
would you like to know more about de luca cucina?,1
would you like to hear about a different option?,1
would you like to know anything else about either of them?,1
would you like to know anything else about darry's cookhouse?,1
would you like to know anything else about cafe uno?,1
would you like to know anything about them?,1
would you like to know any other things about the restaurant today?,1
would you like to know about them?,1
would you like to know about any other menu items?,1
would you like to keep the booking?,1
would you like to hear about some other options?,1
would you like to go ahead and book a table?,1
would you like to know more about da vinci pizzeria?,1
would you like to go ahead and book a room?,1
would you like to go ahead and book a reservation now?,1
would you like to know more about them or have me look for a place?,1
would you like to know more about them or make a reservation?,1
would you like to give the hotel a try?,1
would you like to give the gourmet burger kitchen a try?,1
would you like to give it a try or have me find another restaurant?,1
would you like to give any of them a try?,1
would you like to get some more information about them?,1
would you like to know anything else about india house?,1
would you like to know anything else about the acorn?,1
would you like to know anything else about the avalon?,1
would you like to know anything else about the golden wok?,1
would you like to know more about curry garden?,1
would you like to know more about cotto?,1
would you like to know more about cityroomz or would you like to check out some other places?,1
would you like to know more about city centre?,1
would you like to know more about their menu or anything else?,1
would you like to know more about any of these restaurants?,1
would you like to know more about them or check another place?,1
would you like to know more about any of the places?,1
would you like to know more about alpha-milton?,1
would you like to know more about ali baba?,1
would you like to know make a reservation?,1
would you like to know more about them or check out another restaurant?,1
would you like to know anything else or make a reservation?,1
would you like to know more about them or find another place with lower prices?,1
would you like to know anything else about the worth house?,1
would you like to know anything else about the warkworth?,1
would you like to know anything else about the stazione?,1
would you like to know anything else about the kirkwood house?,1
would you like to know anything else about the huntingdon marriott?,1
would you like the contact information for the property to ask them directly?,1
would you like the address and phone number?,1
