,count
"('anything', 'else,', 'or')",11
"('else,', 'or', 'would')",4
"('or', 'would', 'you')",68
"('would', 'you', 'like')",110
"('to', 'book', 'it?')",86
"('me', 'to', 'find')",232
"('to', 'find', 'another')",120
"('find', 'another', 'place')",79
"('another', 'place', 'with')",64
"('place', 'with', 'better')",60
"('with', 'better', 'reviews?')",12
"('know', 'anything', 'else?')",133
"('Could', 'I', 'help')",1
"('I', 'help', 'you')",152
"('you', 'with', 'anything')",142
"('with', 'anything', 'else?')",121
"('Sounds', 'good,', 'right?')",8
"('more', 'about', 'them')",83
"('about', 'them', 'or')",85
"('them', 'or', 'should')",31
"('or', 'should', 'I')",91
"('should', 'I', 'look')",38
"('I', 'look', 'at')",5
"('look', 'at', 'some')",24
"('at', 'some', 'other')",24
"('some', 'other', 'places?')",36
"('Do', 'you', 'have')",289
"('you', 'have', 'any')",278
"('have', 'any', 'other')",242
"('about', 'the', 'hotel?')",34
"('them', 'or', 'book')",2
"('or', 'book', 'a')",10
"('book', 'a', 'table?')",92
"('more', 'about', 'this')",1
"('about', 'this', 'restaurant?')",2
"('Would', 'you', 'still')",31
"('you', 'still', 'like')",24
"('still', 'like', 'to')",17
"('like', 'to', 'keep')",8
"('to', 'keep', 'your')",8
"('keep', 'your', 'reservation?')",8
"('I', 'look', 'for')",52
"('look', 'for', 'another')",78
"('for', 'another', 'place?')",44
"('about', 'the', 'Lensfield')",1
"('the', 'Lensfield', 'or')",1
"('Lensfield', 'or', 'would')",1
"('to', 'check', 'into')",1
"('check', 'into', 'other')",1
"('into', 'other', 'places?')",1
"('me', 'to', 'book')",247
"('to', 'book', 'you')",54
"('book', 'you', 'a')",74
"('you', 'a', 'table')",15
"('a', 'table', 'to')",1
"('table', 'to', 'eat')",1
"('to', 'eat', 'outdoors?')",1
"('help', 'you', 'with?')",174
"('any', 'other', 'questions?')",129
"('you', 'want', 'a')",66
"('want', 'a', 'reservation?')",51
"('else', 'about', 'them?')",42
"('Will', 'that', 'work')",46
"('that', 'work', 'for')",40
"('work', 'for', 'you')",12
"('for', 'you', 'or')",30
"('you', 'or', 'should')",12
"('should', 'I', 'find')",14
"('I', 'find', 'another')",11
"('find', 'another', 'option?')",8
"('you', 'like', 'a')",76
"('like', 'a', 'reservation')",16
"('a', 'reservation', 'with')",1
"('reservation', 'with', 'them?')",1
"('have', 'any', 'further')",17
"('any', 'further', 'questions?')",13
"('Will', 'that', 'be')",2
"('that', 'be', 'okay,')",2
"('be', 'okay,', 'or')",2
"('okay,', 'or', 'should')",2
"('look', 'at', 'one')",4
"('at', 'one', 'of')",7
"('one', 'of', 'the')",10
"('of', 'the', 'other')",8
"('the', 'other', 'upscale')",1
"('other', 'upscale', 'options?')",1
"('Does', 'that', 'sound')",39
"('that', 'sound', 'good?')",3
"('find', 'another', 'restaurant')",13
"('another', 'restaurant', 'that')",1
"('restaurant', 'that', 'serves')",1
"('that', 'serves', 'larger')",1
"('serves', 'larger', 'portions?')",1
"('like', 'to', 'contact')",1
"('to', 'contact', 'the')",3
"('contact', 'the', 'hotel')",3
"('the', 'hotel', 'to')",1
"('hotel', 'to', 'ask')",1
"('to', 'ask', 'them')",2
"('ask', 'them', 'directly?')",4
"('Can', 'I', 'help')",149
"('Want', 'a', 'reservation?')",2
"('Do', 'you', 'need')",102
"('you', 'need', 'anything')",21
"('need', 'anything', 'else?')",19
"('Is', 'there', 'any')",47
"('there', 'any', 'other')",59
"('any', 'other', 'information')",54
"('other', 'information', 'that')",21
"('information', 'that', 'you')",21
"('that', 'you', 'need?')",24
"('to', 'know', 'more?')",35
"('Want', 'to', 'make')",14
"('book', 'a', 'room')",133
"('a', 'room', 'at')",18
"('room', 'at', 'the')",2
"('at', 'the', 'Ashley?')",1
"('to', 'find', 'a')",93
"('find', 'a', 'place')",57
"('a', 'place', 'with')",46
"('with', 'better', 'ratings')",6
"('better', 'ratings', 'on')",4
"('ratings', 'on', 'the')",2
"('on', 'the', 'view?')",1
"('like', 'to', 'check')",13
"('check', 'out', 'other')",8
"('out', 'other', 'places?')",6
"('me', 'to', 'a')",1
"('to', 'a', 'restaurant')",1
"('a', 'restaurant', 'with')",7
"('restaurant', 'with', 'a')",4
"('with', 'a', 'better')",12
"('a', 'better', 'view?')",8
"('Should', 'I', 'find')",1
"('find', 'another', 'option')",9
"('another', 'option', 'for')",21
"('want', 'to', 'look')",42
"('to', 'look', 'elsewhere?')",18
"('like', 'to', 'go')",5
"('to', 'go', 'ahead')",11
"('go', 'ahead', 'and')",20
"('ahead', 'and', 'book')",14
"('and', 'book', 'a')",8
"('me', 'to', 'see')",19
"('to', 'see', 'if')",18
"('see', 'if', 'they')",10
"('if', 'they', 'have')",9
"('they', 'have', 'some')",1
"('have', 'some', 'of')",1
"('some', 'of', 'their')",1
"('of', 'their', 'larger')",2
"('their', 'larger', 'rooms')",2
"('larger', 'rooms', 'available')",1
"('rooms', 'available', 'right')",1
"('available', 'right', 'now?')",1
"('Does', 'that', 'work')",3
"('work', 'for', 'you?')",27
"('Should', 'I', 'book')",64
"('I', 'book', 'a')",62
"('book', 'a', 'table')",124
"('a', 'table', 'for')",93
"('table', 'for', 'you?')",73
"('I', 'can', 'find')",21
"('can', 'find', 'out')",5
"('find', 'out', 'for')",7
"('out', 'for', 'you')",2
"('for', 'you', 'about')",41
"('you', 'about', 'The')",3
"('about', 'The', 'Gandhi?')",2
"('Want', 'more', 'info')",1
"('more', 'info', 'or')",2
"('info', 'or', 'to')",1
"('or', 'to', 'keep')",1
"('to', 'keep', 'searching?')",1
"('to', 'find', 'you')",1
"('find', 'you', 'another')",1
"('you', 'another', 'option?')",1
"('anything', 'else', 'you')",88
"('else', 'you', 'need')",50
"('you', 'need', 'to')",72
"('need', 'to', 'know?')",44
"('find', 'another', 'Chinese')",1
"('another', 'Chinese', 'restaurant')",1
"('Chinese', 'restaurant', 'for')",1
"('restaurant', 'for', 'you?')",18
"('a', 'room', 'there?')",63
"('another', 'place', 'for')",10
"('place', 'for', 'you?')",11
"('other', 'questions', 'for')",44
"('questions', 'for', 'you')",21
"('you', 'or', 'shall')",4
"('or', 'shall', 'I')",19
"('shall', 'I', 'book')",17
"('you', 'like', 'help')",27
"('like', 'help', 'booking')",7
"('help', 'booking', 'a')",3
"('booking', 'a', 'room?')",11
"('Can', 'I', 'be')",5
"('I', 'be', 'of')",5
"('be', 'of', 'further')",4
"('of', 'further', 'assistance?')",2
"('you', 'need', 'more')",20
"('need', 'more', 'information?')",15
"('like', 'to', 'try')",44
"('to', 'try', 'a')",7
"('try', 'a', 'different')",8
"('a', 'different', 'option?')",3
"('to', 'know', 'about')",150
"('know', 'about', 'them?')",113
"('you', 'a', 'room')",12
"('like', 'to', 'look')",49
"('to', 'look', 'at')",56
"('look', 'at', 'another')",16
"('at', 'another', 'location?')",3
"('Are', 'you', 'interested')",55
"('you', 'interested', 'in')",54
"('interested', 'in', 'booking')",24
"('in', 'booking', 'or')",1
"('booking', 'or', 'would')",1
"('you', 'like', 'another')",5
"('like', 'another', 'option?')",5
"('a', 'place', 'that')",15
"('place', 'that', 'has')",6
"('that', 'has', 'more')",1
"('has', 'more', 'options?')",1
"('place', 'that', 'does?')",12
"('to', 'make', 'your')",1
"('make', 'your', 'reservation')",1
"('your', 'reservation', 'now?')",1
"('me', 'to', 'reserve')",57
"('to', 'reserve', 'a')",55
"('reserve', 'a', 'room')",19
"('a', 'room', 'for')",78
"('room', 'for', 'you')",8
"('for', 'you', 'there')",1
"('you', 'there', 'or')",1
"('there', 'or', 'can')",2
"('or', 'can', 'I')",11
"('can', 'I', 'answer')",6
"('any', 'other', 'questions??')",1
"('What', 'else', 'are')",1
"('else', 'are', 'you')",1
"('are', 'you', 'looking')",5
"('you', 'looking', 'for')",3
"('looking', 'for', 'in')",1
"('for', 'in', 'a')",1
"('in', 'a', 'hotel')",1
"('a', 'hotel', 'in')",1
"('hotel', 'in', 'order')",1
"('in', 'order', 'to')",1
"('order', 'to', 'narrow')",1
"('to', 'narrow', 'down')",1
"('narrow', 'down', 'your')",2
"('down', 'your', 'choice?')",2
"('more', 'about', 'it?')",8
"('Sounds', 'friendly,', 'right?')",1
"('interested', 'in', 'staying')",10
"('in', 'staying', 'there?')",9
"('What', 'days', 'are')",1
"('days', 'are', 'you')",1
"('you', 'looking', 'to')",1
"('looking', 'to', 'stay')",1
"('to', 'stay', 'there?')",29
"('see', 'if', 'we')",1
"('if', 'we', 'can')",1
"('we', 'can', 'reserve')",1
"('can', 'reserve', 'a')",1
"('reserve', 'a', 'window')",1
"('a', 'window', 'seat')",1
"('window', 'seat', 'for')",1
"('seat', 'for', 'you?')",1
"('with', 'anything', 'else')",33
"('anything', 'else', 'or')",22
"('else', 'or', 'can')",2
"('can', 'I', 'book')",2
"('I', 'book', 'you')",17
"('you', 'a', 'room?')",25
"('find', 'another', 'place?')",22
"('What', 'days', 'will')",1
"('days', 'will', 'you')",1
"('will', 'you', 'be')",1
"('you', 'be', 'travelling?')",1
"('need', 'to', 'know')",28
"('know', 'about', 'the')",15
"('Anything', 'else', 'I')",15
"('can', 'help', 'with?')",7
"('you', 'need', 'any')",41
"('need', 'any', 'more')",18
"('any', 'more', 'information')",31
"('more', 'information', 'about')",68
"('information', 'about', 'the')",23
"('about', 'the', 'restaurant?')",51
"('you', 'want', 'me')",29
"('want', 'me', 'to')",29
"('me', 'to', 'make')",135
"('a', 'reservation', 'for')",106
"('reservation', 'for', 'you?')",86
"('Should', 'I', 'search')",25
"('I', 'search', 'for')",40
"('a', 'better', 'option')",5
"('better', 'option', 'for')",5
"('answer', 'anything', 'else')",94
"('anything', 'else', 'for')",56
"('else', 'for', 'you')",39
"('you', 'about', 'the')",22
"('about', 'the', 'Curry')",2
"('the', 'Curry', 'Prince,')",1
"('Curry', 'Prince,', 'or')",1
"('Prince,', 'or', 'book')",1
"('in', 'booking', 'a')",27
"('booking', 'a', 'table?')",19
"('you', 'like', 'more')",81
"('like', 'more', 'information')",53
"('more', 'information', 'on')",27
"('information', 'on', 'it?')",4
"('reserve', 'a', 'table')",29
"('Shall', 'I', 'continue')",1
"('I', 'continue', 'the')",1
"('continue', 'the', 'search')",1
"('the', 'search', 'and')",1
"('search', 'and', 'find')",1
"('and', 'find', 'something')",1
"('find', 'something', 'quieter?')",1
"('Can', 'I', 'reserve')",3
"('I', 'reserve', 'a')",4
"('room', 'for', 'you?')",72
"('you', 'want', 'that')",1
"('want', 'that', 'or')",1
"('that', 'or', 'do')",1
"('or', 'do', 'you')",41
"('do', 'you', 'want')",18
"('you', 'want', 'more')",2
"('want', 'more', 'information')",1
"('more', 'information', 'first?')",2
"('anything', 'else', 'that')",59
"('else', 'that', 'I')",50
"('that', 'I', 'can')",83
"('Are', 'you', 'satisfied')",1
"('you', 'satisfied', 'with')",1
"('satisfied', 'with', 'the')",1
"('with', 'the', 'booking')",1
"('the', 'booking', 'or')",1
"('booking', 'or', 'should')",1
"('should', 'I', 'check')",11
"('I', 'check', 'another')",1
"('check', 'another', 'hotel?')",1
"('want', 'a', 'table')",1
"('a', 'table', 'there?')",17
"('work', 'for', 'you,')",8
"('for', 'you,', 'or')",13
"('you,', 'or', 'should')",6
"('should', 'I', 'run')",1
"('I', 'run', 'another')",1
"('run', 'another', 'search?')",1
"('like', 'to', 'choose')",1
"('to', 'choose', 'that')",1
"('choose', 'that', 'one?')",1
"('a', 'reservation', 'at')",16
"('reservation', 'at', 'Allenbell')",1
"('at', 'Allenbell', 'for')",1
"('Allenbell', 'for', 'you?')",2
"('some', 'other', 'restaurants?')",2
"('like', 'a', 'reservation?')",44
"('another', 'place', 'in')",6
"('place', 'in', 'the')",6
"('in', 'the', 'same')",7
"('the', 'same', 'vicinity?')",3
"('Some', 'mixed', 'signals')",1
"('mixed', 'signals', 'there,')",1
"('signals', 'there,', 'eh?')",1
"('reservation', 'for', 'the')",1
"('for', 'the', 'outdoor')",1
"('the', 'outdoor', 'dining')",2
"('outdoor', 'dining', 'area?')",1
"('interested', 'in', 'making')",20
"('in', 'making', 'a')",25
"('making', 'a', 'reservation?')",26
"('Should', 'we', 'look')",3
"('we', 'look', 'at')",1
"('look', 'at', 'other')",17
"('at', 'other', 'options?')",12
"('else', 'you', 'want')",3
"('know', 'about', 'it?')",7
"('else', 'you', 'would')",46
"('you', 'would', 'like')",54
"('would', 'like', 'to')",47
"('know', 'about', 'their')",1
"('about', 'their', 'menu?')",9
"('Want', 'to', 'book')",27
"('to', 'book', 'it')",56
"('book', 'it', 'for')",76
"('it', 'for', 'you?')",75
"('look', 'for', 'other')",15
"('for', 'other', 'places?')",9
"('Should', 'I', 'choose')",3
"('I', 'choose', 'another')",5
"('choose', 'another', 'one')",1
"('another', 'one', 'instead?')",1
"('I', 'help', 'answer')",1
"('help', 'answer', 'anything')",1
"('answer', 'anything', 'else?')",21
"('about', 'the', 'restaurant')",11
"('the', 'restaurant', 'for')",11
"('me', 'to', 'assist')",2
"('to', 'assist', 'you')",2
"('assist', 'you', 'in')",3
"('you', 'in', 'making')",3
"('me', 'to', 'cancel')",2
"('to', 'cancel', 'the')",2
"('cancel', 'the', 'booking')",1
"('the', 'booking', 'and')",1
"('booking', 'and', 'look')",1
"('and', 'look', 'elsewhere?')",1
"('a', 'different', 'restaurant?')",2
"('have', 'any', 'more')",14
"('any', 'more', 'questions')",19
"('more', 'questions', 'or')",3
"('questions', 'or', 'should')",3
"('should', 'I', 'book')",8
"('to', 'check', 'on')",28
"('check', 'on', 'the')",7
"('on', 'the', 'availability')",6
"('the', 'availability', 'of')",6
"('availability', 'of', 'the')",1
"('of', 'the', 'larger')",1
"('the', 'larger', 'rooms?')",1
"('like', 'to', 'reserve')",12
"('reserve', 'a', 'room?')",10
"('anything', 'else', 'today?')",27
"('to', 'reserve', 'you')",14
"('reserve', 'you', 'a')",14
"('a', 'table', 'now')",2
"('table', 'now', 'or')",2
"('now', 'or', 'do')",3
"('do', 'you', 'have')",15
"('you', 'have', 'other')",8
"('have', 'other', 'questions?')",4
"('other', 'questions', 'I')",11
"('questions', 'I', 'can')",14
"('place', 'with', 'more')",15
"('with', 'more', 'offerings?')",1
"('for', 'you', 'there?')",11
"('room', 'at', 'Hobsons')",2
"('at', 'Hobsons', 'House?')",1
"('Shall', 'I', 'book')",20
"('you', 'or', 'do')",1
"('you', 'have', 'additional')",3
"('have', 'additional', 'questions?')",4
"('to', 'check', 'availability')",7
"('check', 'availability', 'for')",5
"('for', 'your', 'preferred')",1
"('your', 'preferred', 'days?')",1
"('table', 'for', 'your')",3
"('for', 'your', 'party?')",4
"('you', 'with', 'any')",6
"('with', 'any', 'other')",5
"('other', 'information', 'about')",8
"('information', 'about', 'Hakka?')",2
"('to', 'try', 'one')",2
"('try', 'one', 'of')",3
"('the', 'other', 'restaurants?')",2
"('Did', 'you', 'need')",1
"('any', 'more', 'information?')",18
"('information', 'about', 'Nandos?')",2
"('about', 'the', 'property?')",11
"('else', 'about', 'the')",32
"('Want', 'to', 'stay')",3
"('book', 'a', 'reservation?')",34
"('you', 'like', 'any')",18
"('like', 'any', 'other')",11
"('any', 'other', 'information?')",21
"('about', 'the', 'Worth')",3
"('the', 'Worth', 'House?')",3
"('reservation', 'for', 'you')",12
"('for', 'you', 'at')",19
"('you', 'at', 'Ashley')",1
"('at', 'Ashley', 'Hotel?')",1
"('booking', 'a', 'stay?')",1
"('a', 'table', 'outdoors?')",4
"('answer', 'anything', 'for')",2
"('anything', 'for', 'you')",1
"('the', 'guest', 'house?')",4
"('help', 'booking', 'it?')",4
"('Shall', 'I', 'find')",1
"('me', 'to', 'look')",55
"('to', 'look', 'for')",44
"('Sound', 'good', 'enough')",2
"('good', 'enough', 'for')",2
"('enough', 'for', 'you?')",2
"('Is', 'that', 'going')",12
"('that', 'going', 'to')",13
"('going', 'to', 'be')",13
"('to', 'be', 'a')",11
"('be', 'a', 'problem')",3
"('a', 'problem', 'for')",1
"('problem', 'for', 'you')",1
"('you', 'or', 'would')",10
"('Are', 'there', 'any')",25
"('other', 'questions', 'that')",32
"('questions', 'that', 'I')",28
"('I', 'can', 'try')",4
"('can', 'try', 'to')",4
"('try', 'to', 'answer')",3
"('to', 'answer', 'for')",3
"('answer', 'for', 'you')",13
"('you', 'at', 'this')",4
"('at', 'this', 'time?')",19
"('Are', 'you', 'interested?')",2
"('any', 'other', 'hotels')",2
"('other', 'hotels', ""you'd"")",1
"('hotels', ""you'd"", 'like')",1
"(""you'd"", 'like', 'me')",3
"('to', 'look', 'up?')",1
"('else', 'or', 'shall')",2
"('Can', 'I', 'book')",25
"('you', 'need', 'help')",8
"('need', 'help', 'with')",7
"('help', 'with', 'anything')",12
"('If', 'that', 'sounds')",1
"('that', 'sounds', 'good')",2
"('sounds', 'good', 'to')",2
"('good', 'to', 'you,')",1
"('to', 'you,', 'then')",1
"('you,', 'then', 'I')",1
"('then', 'I', 'will')",1
"('I', 'will', 'go')",1
"('will', 'go', 'ahead')",1
"('and', 'book', 'it?')",4
"('information', 'about', 'The')",3
"('about', 'The', 'Good')",1
"('The', 'Good', 'Luck')",1
"('Good', 'Luck', 'Chinese')",1
"('Luck', 'Chinese', 'Food')",1
"('Chinese', 'Food', 'Takeaway?')",1
"('like', 'to', 'give')",19
"('to', 'give', 'it')",5
"('give', 'it', 'a')",5
"('it', 'a', 'try?')",2
"('them', 'or', 'have')",31
"('or', 'have', 'me')",34
"('have', 'me', 'look')",25
"('me', 'look', 'for')",19
"('a', 'room', 'there')",10
"('room', 'there', 'for')",2
"('there', 'for', 'you?')",6
"('for', 'another', 'restaurant')",1
"('another', 'restaurant', 'option')",1
"('restaurant', 'option', 'for')",1
"('still', 'like', 'a')",3
"('like', 'a', 'room')",3
"('a', 'room', 'here?')",1
"('some', 'other', 'nearby')",1
"('other', 'nearby', 'options?')",1
"('look', 'for', 'a')",13
"('for', 'a', 'place?')",1
"('else', 'that', 'you')",8
"('have', 'other', 'questions')",4
"('to', 'book', 'for')",2
"('book', 'for', 'you?')",1
"('need', 'any', 'additional')",3
"('any', 'additional', 'information?')",3
"('Are', 'you', 'still')",29
"('you', 'still', 'interested')",16
"('still', 'interested', 'in')",11
"('Want', 'to', 'plan')",1
"('to', 'plan', 'a')",1
"('plan', 'a', 'trip')",1
"('a', 'trip', 'there?')",1
"('want', 'a', 'room?')",1
"('questions', 'for', 'me')",4
"('for', 'me', 'today?')",3
"(""Let's"", 'find', 'another')",1
"('questions', 'about', 'Thanh')",2
"('about', 'Thanh', 'Binh?')",2
"('me', 'to', 'try')",7
"('to', 'try', 'somewhere')",2
"('try', 'somewhere', 'else?')",3
"('like', 'a', 'booking?')",2
"('other', 'information', 'I')",7
"('information', 'I', 'can')",17
"('can', 'find', 'for')",15
"('find', 'for', 'you?')",15
"('', 'would', 'you')",14
"('make', 'a', 'delivery')",1
"('a', 'delivery', 'order')",1
"('delivery', 'order', 'or')",1
"('order', 'or', 'do')",1
"('want', 'to', 'explore')",9
"('to', 'explore', 'more')",1
"('explore', 'more', 'options?')",1
"('place', 'with', 'a')",9
"('with', 'a', 'higher')",2
"('a', 'higher', 'rating')",2
"('higher', 'rating', 'for')",2
"('rating', 'for', 'indoor')",2
"('for', 'indoor', 'decor?')",2
"('questions', 'about', 'Meghna?')",1
"('place', 'with', 'lower')",11
"('with', 'lower', 'prices?')",12
"('want', 'a', 'room')",2
"('like', 'help', 'in')",8
"('help', 'in', 'booking')",7
"('in', 'booking', 'it?')",3
"('room', 'at', 'this')",3
"('like', 'to', 'continue')",4
"('to', 'continue', 'with')",5
"('continue', 'with', 'a')",4
"('with', 'a', 'reservation?')",4
"('like', 'any', 'more')",5
"('information', 'about', 'it?')",9
"('What', 'is', 'your')",4
"('is', 'your', 'budget?')",3
"('a', 'reservation', 'now')",1
"('reservation', 'now', 'or')",1
"('you', 'have', 'more')",6
"('have', 'more', 'questions?')",7
"('a', 'table', 'now?')",11
"('make', 'a', 'booking')",13
"('a', 'booking', 'for')",8
"('booking', 'for', 'you?')",9
"('a', 'table', 'or')",12
"('table', 'or', 'look')",2
"('or', 'look', 'for')",8
"('look', 'for', 'something')",10
"('for', 'something', 'else?')",10
"('Will', 'that', 'still')",10
"('that', 'still', 'work')",5
"('still', 'work', 'for')",4
"('like', 'to', 'stay')",12
"('you', 'need', 'additional')",2
"('need', 'additional', 'information')",1
"('additional', 'information', 'or')",1
"('information', 'or', 'do')",1
"('table', 'or', 'keep')",3
"('or', 'keep', 'searching?')",2
"('anything', 'else', ""you'ld"")",1
"('else', ""you'ld"", 'like')",1
"(""you'ld"", 'like', 'to')",1
"('answer', 'any', 'additional')",9
"('any', 'additional', 'questions')",14
"('additional', 'questions', 'for')",6
"('you', 'about', 'Cityroomz?')",1
"('I', 'check', 'out')",6
"('Would', 'you', 'be')",14
"('you', 'be', 'interested')",14
"('be', 'interested', 'in')",20
"('interested', 'in', 'any')",1
"('in', 'any', 'other')",1
"('other', 'hotels', 'in')",1
"('hotels', 'in', 'the')",2
"('in', 'the', 'area?')",2
"('Is', 'that', 'okay')",3
"('that', 'okay', 'with')",2
"('okay', 'with', 'you?')",2
"('I', 'book', 'that')",2
"('book', 'that', 'for')",7
"('that', 'for', 'you?')",8
"('another', 'place', 'that')",4
"('that', 'has', 'better')",3
"('has', 'better', 'reviews')",1
"('better', 'reviews', 'on')",3
"('reviews', 'on', 'the')",1
"('on', 'the', 'noise')",1
"('the', 'noise', 'level?')",1
"('information', 'on', 'the')",6
"('on', 'the', 'restaurant?')",4
"('making', 'a', 'reservation')",7
"('that', 'sound', 'like')",9
"('sound', 'like', 'something')",2
"('like', 'something', 'you')",1
"('something', 'you', 'would')",1
"('you', 'would', 'be')",1
"('would', 'be', 'interested')",1
"('be', 'interested', 'in?')",2
"('to', 'book', 'this')",4
"('book', 'this', 'for')",5
"('this', 'for', 'you?')",6
"('more', 'about', 'either')",11
"('about', 'either', 'of')",10
"('either', 'of', 'them?')",9
"('you', 'a', 'table?')",28
"('What', 'do', 'you')",2
"('do', 'you', 'like')",1
"('a', 'reservation', 'there')",25
"('reservation', 'there', 'or')",14
"('can', 'I', 'help')",4
"('you', 'with', 'something')",3
"('with', 'something', 'else?')",4
"('about', 'the', 'Allenbell')",2
"('the', 'Allenbell', 'or')",1
"('Allenbell', 'or', 'have')",1
"('me', 'look', 'elsewhere?')",1
"('have', 'me', 'check')",8
"('me', 'check', 'out')",7
"('else', 'about', 'this')",5
"('about', 'this', 'location')",6
"('this', 'location', 'for')",5
"('location', 'for', 'you?')",8
"('I', 'can', 'answer')",23
"('can', 'answer', 'for')",22
"('answer', 'for', 'you?')",12
"('like', 'to', 'me')",5
"('to', 'me', 'find')",1
"('me', 'find', 'another')",3
"('another', 'place', 'or')",7
"('place', 'or', 'would')",5
"('a', 'reservation', 'here?')",1
"('Can', 'I', 'assist')",6
"('I', 'assist', 'you')",6
"('assist', 'you', 'with')",5
"('What', 'else', 'can')",11
"('else', 'can', 'I')",10
"('can', 'I', 'do')",1
"('I', 'do', 'for')",1
"('do', 'for', 'you?')",14
"('Sound', 'good', 'to')",43
"('good', 'to', 'you?')",65
"('a', 'table', 'at')",17
"('table', 'at', 'either')",2
"('at', 'either', 'of')",1
"('either', 'of', 'those?')",1
"('about', 'the', 'Dojo')",4
"('the', 'Dojo', 'Noodle')",4
"('Dojo', 'Noodle', 'Bar?')",7
"('for', 'your', 'desired')",1
"('your', 'desired', 'date?')",1
"('any', 'other', 'assistance')",2
"('other', 'assistance', 'I')",1
"('assistance', 'I', 'can')",1
"('I', 'can', 'provide')",1
"('can', 'provide', 'you')",1
"('provide', 'you', 'today?')",1
"('out', 'for', 'you?')",5
"('search', 'for', 'another')",18
"('for', 'another', 'location')",1
"('another', 'location', '?')",1
"('to', 'look', 'into')",15
"('look', 'into', 'the')",2
"('into', 'the', 'portion')",1
"('the', 'portion', 'size')",1
"('portion', 'size', 'a')",1
"('size', 'a', 'little')",1
"('a', 'little', 'further?')",2
"('you', 'with', 'anymore')",1
"('with', 'anymore', 'information?')",1
"('Does', 'that', 'sounds')",1
"('that', 'sounds', 'alright')",1
"('sounds', 'alright', 'to')",1
"('alright', 'to', 'you?')",1
"('to', 'try', 'another')",13
"('try', 'another', 'Chinese')",1
"('another', 'Chinese', 'restaurant?')",1
"('Which', 'one', 'sounds')",2
"('one', 'sounds', 'better')",2
"('sounds', 'better', 'to')",2
"('better', 'to', 'you?')",2
"('I', 'suggest', 'we')",1
"('suggest', 'we', 'look')",1
"('we', 'look', 'elsewhere,')",1
"('look', 'elsewhere,', 'what')",1
"('elsewhere,', 'what', 'do')",1
"('what', 'do', 'you')",1
"('do', 'you', 'think?')",1
"('reserve', 'a', 'table?')",7
"('them', 'or', 'check')",11
"('or', 'check', 'out')",15
"('check', 'out', 'a')",13
"('out', 'a', 'different')",10
"('a', 'different', 'place?')",14
"('How', 'does', 'that')",9
"('does', 'that', 'sound')",11
"('that', 'sound', 'to')",8
"('sound', 'to', 'you?')",10
"('to', 'know', 'any')",3
"('know', 'any', 'other')",2
"('any', 'other', 'things')",1
"('other', 'things', 'about')",1
"('things', 'about', 'the')",1
"('the', 'restaurant', 'today?')",1
"('that', 'sound', 'okay')",4
"('sound', 'okay', 'to')",2
"('okay', 'to', 'you?')",2
