,question,turn_nr,reference_response,reference_length,ref_know_nr,reference_domain,reference_doc_type,prediction_response,prediction_length,pred_know_nr,prediction_domain,prediction_doc_type,bleu,meteor,rouge1,rouge2,rougeL,dialogue_act_history
10,Does the restaurant serve alcohol?,7,"Yes, and reviews of the drinks are quite positive. Can I answer anything else about the restaurant for you?",107,10,restaurant,review,"Yes, The Missing Sock does serve alcohol. There are mixed reviews about the quality and quality of the drinks. Would you like to know more about them?",150,11,restaurant,review,0.07660085066026406,0.21926788308643272,0.43478260869565216,0.13636363636363638,0.2608695652173913,"['opinion', 'command', 'command', 'statement', 'open_question_factual', 'statement', 'yes_no_question']"
11,Do they offer a pleasant view of the restaurant's surroundings?,5,"Most reviews of The Nirala loved the gorgeous views, but I did read a review from one past diner who was disappointed with the sights from their table. Do you have any other questions that I can answer for you today?",216,4,restaurant,review,The Nirala is located in the heart of the city and offers excellent views that can't be beat. Would you like the phone number?,126,5,restaurant,review,0.02161966618978222,0.09502171555407601,0.27272727272727276,0.0625,0.21212121212121213,"['yes_no_question', 'command', 'pos_answer', 'statement', 'yes_no_question']"
12,Is the place quiet?,11,"Acorn guest house's reviews all agree that the hotel is a place of peace and quiet, without any loud or disruptive patrons.",123,3,hotel,review,The Acorn Guest House is quiet according to most guests. One person said they were not disturbed by any loud or disruptive patrons.,131,3,hotel,review,0.205363377415899,0.29706695801501476,0.4782608695652174,0.2727272727272727,0.43478260869565216,"['statement', 'open_question_factual', 'thanking', 'opinion', 'statement', 'statement', 'statement', 'statement', 'statement', 'opinion', 'open_question_opinion']"
13,"I'm kind of a neat freak, how often does the hotel clean their rooms?",13,"According to several reviews of Sleeperz hotel, the rooms are very clean, but one guest said that the cleanliness was not satisfactory upon check in.",149,5,hotel,review,"The Cityroomz hotel has clean rooms according to most guests, but one person did complain about a lack of cleanliness.",118,5,hotel,review,0.06613778672801887,0.19912439997026557,0.48888888888888893,0.0930232558139535,0.22222222222222224,"['yes_no_question', 'yes_no_question', 'opinion', 'command', 'command', 'statement', 'statement', 'command', 'opinion', 'statement', 'command', 'statement', 'open_question_opinion']"
14,Are the servings large?,11,Pizza Express serves good portions of food which tastes amazing and is fresh. Would you like to book there?,107,2,restaurant,review,The Pizza Express gets some mixed reviews on their portion sizes. Some customers say the portions are very generous while others say they were lacking. Would you like to know more about them?,191,3,restaurant,review,0.11755743200908032,0.17968538365131892,0.2692307692307693,0.16,0.2692307692307693,"['open_question_factual', 'open_question_opinion', 'opinion', 'statement', 'pos_answer', 'statement', 'command', 'open_question_factual', 'opinion', 'opinion', 'yes_no_question']"
15,How are the sights through the windows at the Nirala?,11,Pretty much every review I found said that the view from the windows is amazing. Only one person felt otherwise. Would you like to make a reservation there?,156,4,restaurant,review,The Nirala is in the heart of the city and offers excellent views. Would you like me to book a table for you?,109,5,restaurant,review,0.09326779192165702,0.08727409558893745,0.35294117647058826,0.08163265306122448,0.27450980392156865,"['yes_no_question', 'statement', 'comment', 'command', 'yes_no_question', 'statement', 'command', 'opinion', 'opinion', 'opinion', 'open_question_factual']"
16,Is the view decent from the room?,3,"Most customers have raved about the view from their rooms, especially with all the stars out at night.",102,5,hotel,review,"Yes, the view from the Arbury Lodge Guesthouse is seen as amazing and private. Would you like me to book it for you?",116,5,hotel,review,0.06394766688900896,0.0945471435155478,0.1951219512195122,0.10256410256410256,0.1951219512195122,"['statement', 'opinion', 'yes_no_question']"
17,Does this place have good atmosphere?,9,"Previous customers have called the atmosphere enjoyable, adventurous, great and had a pleasant view. Would you like to book a table?",132,3,restaurant,review,"Yes, the Bedouin has a great atmosphere. Past guests have described it as adventurous, great, and great.",104,3,restaurant,review,0.07580042351610844,0.16770040784144613,0.36842105263157887,0.11111111111111112,0.2631578947368421,"['statement', 'statement', 'pos_answer', 'statement', 'statement', 'command', 'command', 'command', 'yes_no_question']"
18,Are they known for reasonably priced drinks?,7,"For the most part, the Kymmoy restaurant is regarded as having reasonably priced drinks, however some may disagree.",115,4,restaurant,review,The Kymmoy gets some mixed reviews on their prices. Some customers thought the drinks were affordable while others thought they were overpriced. Would you like to know more about them?,184,5,restaurant,review,0.016794256847485502,0.11093152745001694,0.25,0.043478260869565216,0.16666666666666669,"['opinion', 'open_question_opinion', 'open_question_opinion', 'open_question_factual', 'statement', 'statement', 'yes_no_question']"
19,Does that one offer any rooms with a good view?,13,"When staying at the Lensfield hotel, guests will see gorgeous and beautiful views from their rooms and will likely want to take many pictures.",142,3,hotel,review,"The Lensfield Hotel has gorgeous views according to most guests, but one person did say they couldn't get enough of it.",119,4,hotel,review,0.023508908105855313,0.15278717082640975,0.30434782608695654,0.0909090909090909,0.2608695652173913,"['statement', 'statement', 'open_question_opinion', 'command', 'command', 'opinion', 'open_question_opinion', 'statement', 'command', 'statement', 'opinion', 'statement', 'yes_no_question']"
20,Do these places have a good view from my room?,11,"Yes, guests have been very happy with the views at both The Gonville Hotel and the University Arms Hotel.",105,6,hotel,review,Both the Gonville Hotel and the University Arms Hotel have excellent views of the surrounding sights and attractions.,117,6,hotel,review,0.31065583953962295,0.31892320775848815,0.6486486486486486,0.45714285714285713,0.4864864864864865,"['open_question_factual', 'statement', 'statement', 'statement', 'statement', 'statement', 'statement', 'statement', 'statement', 'statement', 'open_question_opinion']"
21,Is the free WiFi fast and reliable?,9,"Yes, according to one review, the wifi is really fast there. Would you like to go ahead and make the reservation now?",117,3,hotel,review,"Yes, the free WiFi at the Bridge Guest House is fast and reliable. Past guests have described it as extremely swift.",116,7,hotel,review,0.04868789840258697,0.12419063690498869,0.3255813953488372,0.0,0.2790697674418604,"['statement', 'statement', 'opinion', 'statement', 'comment', 'command', 'statement', 'statement', 'yes_no_question']"
22,Does it have a big room?,9,The Aylesbray Lodge Guest House offers guests rooms that are nice and big as well as offers a laundry facility.,111,1,hotel,review,"The Aylesbray Lodge Guest House has nice and big rooms according to one guest, but another said the room was a bit dirty.",121,1,hotel,review,0.2042128370387497,0.258904984877647,0.5116279069767442,0.2926829268292683,0.4186046511627907,"['statement', 'neg_answer', 'open_question_opinion', 'opinion', 'opinion', 'opinion', 'neg_answer', 'statement', 'open_question_factual']"
23,"First, can you tell me if the rooms are spacious?",13,"Most people feel that the roomsat Ashley Hotel are spacious, but there are some that feel they are on the smaller side.",119,4,hotel,review,The Ashley Hotel has really big rooms according to most guests. Only one person said it was too small for them.,111,6,hotel,review,0.03489598779544533,0.15611959196721076,0.18604651162790697,0.04878048780487805,0.1395348837209302,"['opinion', 'statement', 'command', 'statement', 'statement', 'opinion', 'other_answers', 'command', 'open_question_factual', 'open_question_factual', 'statement', 'statement', 'command']"
24,Does the Meze bar serve beer?,15,The Meze Bar does serve alcohol. They serve beer and various drink options. One reviewer did say they thought the selection was mediocre but others said they thought it was nice and varied.,189,5,restaurant,faq,"Yes, they do serve beer at the Meze Bar. Past guests have said that they enjoyed the beer, but others have said it was mediocre.",128,10,restaurant,review,0.050025314912606256,0.19284390128397513,0.4827586206896552,0.21428571428571427,0.3448275862068965,"['statement', 'statement', 'opinion', 'statement', 'opinion', 'open_question_opinion', 'statement', 'statement', 'open_question_opinion', 'statement', 'statement', 'statement', 'statement', 'statement', 'yes_no_question']"
25,Does it have excellently trained staff?,15,The Fitzbillies Restaurant has some good staff and some staff who don't perform at the level of the other staff.,112,8,restaurant,review,The Fitzbillies Restaurant has mixed reviews about their staff. Some people say the staff is friendly and mindblowingly good while others say they are lousy. Would you like to know more about them?,197,8,restaurant,review,0.08673245635389941,0.22597642587728844,0.40740740740740733,0.11538461538461538,0.2962962962962963,"['open_question_opinion', 'statement', 'command', 'statement', 'statement', 'opinion', 'opinion', 'statement', 'command', 'command', 'command', 'opinion', 'opinion', 'statement', 'yes_no_question']"
26,Is the place quiet?,15,"Some customers have said that it is very quiet, however it has also been reported that it is very noisy and they had their sleep disturbed.",139,8,hotel,review,"The Alexander Bed and Breakfast is located in a quiet area, but there are some complaints that it can be noisy. Would you like me to find another place?",152,7,hotel,review,0.03280894525012139,0.13630185915964538,0.2545454545454545,0.03773584905660378,0.18181818181818185,"['statement', 'statement', 'statement', 'closing', 'complaint', 'statement', 'statement', 'statement', 'command', 'statement', 'statement', 'statement', 'statement', 'statement', 'yes_no_question']"
27,Do you know if it has various non-alcoholic drink options?,9,Clowns Cafe has an excellent selection of non-alcoholic drink options such as all the Pepsi products you can name.  Would you like to book a reservation?,153,2,restaurant,review,"Yes, Clowns Cafe has a generous non-alcoholic drink menu. Would you like me to book a reservation?",98,1,restaurant,review,0.25719118927027773,0.29899636093959,0.5777777777777777,0.41860465116279066,0.5777777777777777,"['opinion', 'statement', 'open_question_factual', 'statement', 'command', 'statement', 'statement', 'opinion', 'yes_no_question']"
28,Do they offer good breakfast options?,3,"Yes, the breakfast options at Kirkwood are varied and well reviewed. Would you like be to book it for you?",106,3,hotel,review,"Yes, there are good breakfast options at Kirkwood House. Past guests have said that there were many options to make everyone in the family happy.",145,3,hotel,review,0.11295714543953919,0.1907258063437621,0.35555555555555557,0.13953488372093023,0.2666666666666666,"['statement', 'statement', 'yes_no_question']"
29,Does this restaurant have large portions for leftovers?,7,"If you're searching for a location that provides enough food for leftovers, the Rajmahal can provide generous portions.",119,2,restaurant,review,The Rajmahal gets mixed reviews on their portion sizes. Some say the portions are generous and others say they are a bit small. Would you like to know more about them?,167,2,restaurant,review,0.017035962947530545,0.11704641387415463,0.24000000000000002,0.04166666666666667,0.12000000000000001,"['statement', 'statement', 'command', 'statement', 'opinion', 'command', 'yes_no_question']"
30,Is it a quiet place?,9,Everyone says that the acorn guest house is nice and quiet. Is there anything else you need to know?,100,3,hotel,review,"Yes, the Acorn Guest House is a quiet place to stay. Past guests have said that they were not disturbed by any loud or disruptive patrons.",138,3,hotel,review,0.0201381482546679,0.22661979775061644,0.35555555555555557,0.18604651162790697,0.3111111111111111,"['statement', 'command', 'opinion', 'statement', 'command', 'statement', 'statement', 'opinion', 'yes_no_question']"
31,Are there pretty views in that area of the city?,3,Guests appreciated the views which they described as great or exquisite. Would you like me to book it for you?,110,5,hotel,review,"Yes, there are pretty views at Acorn Guest House. Past guests have said that the view was exquisite and unlike anything they've ever seen before.",145,5,hotel,review,0.018884748972625875,0.1236307415447506,0.2173913043478261,0.04545454545454545,0.17391304347826086,"['statement', 'statement', 'yes_no_question']"
32,Do the rooms have good views?,7,The reviewers are raving about the excellent views from the hotel. One found it to be exquisite and something that they had never seen before.,142,5,hotel,review,"Yes, the Acorn Guest House has great views. Past guests have described it as exquisite, unlike anything they've ever seen before.",129,5,hotel,review,0.06613837137034122,0.19407830071519816,0.29787234042553196,0.044444444444444446,0.29787234042553196,"['yes_no_question', 'open_question_factual', 'opinion', 'open_question_opinion', 'statement', 'pos_answer', 'open_question_opinion']"
33,Does it have excellent Wifi connection?,7,The Allenbell does have free Wifi connections. The connection provided is extremely fast and the quality is superb!,115,4,hotel,review,"Yes, the Allenbell does have excellent WIFI connection. Past guests have described it as fast and reliable.",107,5,hotel,review,0.10079037376973914,0.2028462079655131,0.45714285714285713,0.30303030303030304,0.45714285714285713,"['statement', 'opinion', 'opinion', 'opinion', 'opinion', 'opinion', 'open_question_opinion']"
34,Does the Cambridge Belfry have great views from its rooms?,17,"According to the reviews I have on hand for that location, the views there are spectacular, with a particularly noteworthy view of the mountains.",145,2,hotel,review,The Cambridge Belfry has a spectacular view of the mountains from the balcony. Would you like me to book it for you?,116,3,hotel,review,0.10929637020896284,0.1674872610729453,0.43478260869565216,0.13636363636363635,0.2608695652173913,"['yes_no_question', 'opinion', 'statement', 'open_question_opinion', 'statement', 'statement', 'opinion', 'statement', 'statement', 'command', 'command', 'open_question_opinion', 'open_question_factual', 'statement', 'statement', 'opinion', 'yes_no_question']"
35,Is their beer a good value for the money?,7,"Unfortunately the reviews are split, half say they are overpriced and have say they are affordable.",99,5,restaurant,review,The Nirala gets mixed reviews on their prices. Some customers thought the prices were affordable while others thought the drinks were overpriced and mediocre. Would you like to know more about them?,198,6,restaurant,review,0.027794738724637273,0.1738517481876085,0.20833333333333334,0.043478260869565216,0.16666666666666666,"['statement', 'opinion', 'statement', 'opinion', 'open_question_opinion', 'statement', 'statement']"
36,Does the establishment have beautiful decorations there?,3,The restaurant does have good interior decorations according to one reviewer. Is there anything else you need to know?,118,1,restaurant,review,"Yes, the Graffiti restaurant does have beautiful interior decor. Past guests have described it as inviting and intimate.",120,2,restaurant,review,0.07681104116622756,0.18261527570114053,0.3243243243243243,0.17142857142857143,0.3243243243243243,"['command', 'statement', 'yes_no_question']"
37,Do they offer a variety of beer options?,5,The Nirala offers a good selection of beer for you to order from. Do you need any other information from me?,108,4,restaurant,review,The Nirala has a surprisingly extensive drink menu that you don't often see at Indian restaurants. Would you like to book a table?,130,4,restaurant,review,0.04260146736441797,0.12702981193246046,0.26666666666666666,0.046511627906976744,0.22222222222222224,"['opinion', 'statement', 'command', 'statement', 'opinion']"
38,Do the rooms at acorn guest house have good views of the surrounding area?,7,"Yes they do.  According to the reviews left by previous guests the views are amazing, nice, and great.  The views make it worth it.",131,5,hotel,review,"Yes, the Acorn Guest House does have good views of the surrounding area. Past guests have described it as exquisite and unlike anything they've ever seen before.",161,5,hotel,review,0.022077238252320414,0.1434743234916606,0.30769230769230765,0.0,0.23076923076923075,"['statement', 'open_question_opinion', 'opinion', 'yes_no_question', 'yes_no_question', 'statement', 'yes_no_question']"
39,Is it near fun places to visit after I eat?,11,Tandoori Palace diners said the restaurant overlooks a plaza some others said it is far from other things that they wanted to do in the mediocre location.,154,3,restaurant,review,"The Tandoori Palace is in a mediocre location according to two customers. One person said it was a huge letdown, though.",120,2,restaurant,review,0.053681953464646257,0.19269609012510971,0.4583333333333333,0.13043478260869565,0.25,"['statement', 'command', 'open_question_factual', 'open_question_factual', 'command', 'opinion', 'statement', 'statement', 'opinion', 'command', 'open_question_opinion']"
40,Is the view from the room good?,19,"Visitors to the Acorn Guest House unanimously rate the views to be exquisite from the property, to a point where it offset other potential issues.",146,5,hotel,review,"Yes, the view from the Acorn Guest House is described as exquisite and unlike anything you've ever seen before.",111,5,hotel,review,0.11244240791697316,0.15969431895593963,0.35555555555555557,0.23255813953488372,0.22222222222222224,"['statement', 'statement', 'command', 'statement', 'command', 'statement', 'statement', 'yes_no_question', 'command', 'statement', 'statement', 'opinion', 'statement', 'yes_no_question', 'statement', 'statement', 'command', 'statement', 'open_question_opinion']"
41,Are there any reviews that mention their bathrooms?,5,Yes there are.  According to the reviews left byy the previous guests the bathrooms were super clean and sanitary.  Other guests have stated they was impressed with the clean bathroom.,184,2,hotel,review,"According to the reviews I have on hand for that location, the opinions are mostly positive.  Only one quarter found the bathrooms lacking, while three quarters found them super-clean and sanitary.",197,3,hotel,review,0.11681570771679115,0.1964042701207994,0.41935483870967744,0.23333333333333334,0.3548387096774193,"['statement', 'statement', 'opinion', 'opinion', 'yes_no_question']"
42,"I prefer a hotel that offers a beautiful view, does Lovell Lodge provide this?",9,"According to the reviews I have on hand for that location, the views there have been described as amazing!",106,1,hotel,review,"Yes, Lovell Lodge does offer a beautiful view. Past guests have described it as amazing.",88,1,hotel,review,0.045719810708337125,0.10242180243347934,0.29411764705882354,0.0625,0.29411764705882354,"['statement', 'statement', 'statement', 'statement', 'command', 'statement', 'statement', 'statement', 'statement']"
43,Which one has the top notch atmosphere?,13,"None of the three gets raves for the atmosphere. Would you like to try one anyway, or should I search for another location?",123,8,restaurant,review,The atmosphere at Kohinoor is dull and drab while that at Mahal of Cambridge is beautiful.,90,11,restaurant,review,0.017726282342575568,0.06569029343997512,0.15384615384615383,0.05405405405405406,0.10256410256410256,"['statement', 'statement', 'statement', 'command', 'statement', 'statement', 'statement', 'statement', 'command', 'statement', 'command', 'command', 'open_question_opinion']"
44,Do the maids pick up the rooms every day?,3,"Yes, housekeeping can clean every day if you want. Can I answer any more questions for you about Rosa's?",104,1,hotel,review,The maids at Rosa's bed and breakfast do pick up the rooms. Would you like me to book a room for you?,101,0,empty,empty,0.04141141330484801,0.11204065567902935,0.23255813953488372,0.0975609756097561,0.13953488372093023,"['statement', 'statement', 'yes_no_question']"
45,Does this location offer customers a pleasant view?,3,"There are very nice water views at De Luca, but not all guests felt they were that impressive given the excellent location. Would you care to make a reservation?",161,3,restaurant,review,The De Luca Cucina and Bar has an excellent view overlooking the river. Would you like me to book a table for you?,114,6,restaurant,review,0.06336434034829563,0.13845470141402025,0.34615384615384615,0.08,0.2692307692307692,"['statement', 'statement', 'yes_no_question']"
46,Could you first check the noise level there since I want a quiet room?,15,"The noise level appears to be very low at the Ashley, which is great news. Should I book it for you?",100,4,hotel,review,"According to the reviews I have on hand for this location, the noise level there has been described as very quiet and like home comfortable.",140,4,hotel,review,0.040426490401116115,0.15657599912314643,0.34782608695652173,0.0909090909090909,0.17391304347826086,"['statement', 'opinion', 'opinion', 'opinion', 'opinion', 'opinion', 'opinion', 'statement', 'statement', 'statement', 'statement', 'statement', 'opinion', 'complaint', 'yes_no_question']"
47,"I don't like the noise, so do you know if the hotel is in a quiet part of town?",17,"If you disapprove of noise, the Acorn Guest House will provide a quiet atmosphere in which one won't be disrupted by outside noise.",131,3,hotel,review,The Acorn Guesthouse is in a quiet part of town according to guest reviews. Would you like me to reserve you a room?,116,3,hotel,review,0.04120278493991909,0.13585652173209953,0.3404255319148936,0.08888888888888888,0.1702127659574468,"['opinion', 'open_question_factual', 'statement', 'command', 'nonsense', 'statement', 'statement', 'open_question_opinion', 'opinion', 'open_question_opinion', 'statement', 'statement', 'statement', 'statement', 'command', 'command', 'command']"
48,Do they have rooms that are nice and clean?,11,"Some previous guests complained about finding dust and grime in their rooms, however others found the rooms to be very clean.",125,4,hotel,review,The Express by Holiday Inn Cambridge has mixed reviews on cleanliness. Some guests found the rooms pristine and others found them dirty and dusty. Would you like to know more about them?,186,4,hotel,review,0.05877871600454018,0.17788889442366929,0.3396226415094339,0.11764705882352941,0.22641509433962265,"['statement', 'command', 'opinion', 'statement', 'statement', 'statement', 'command', 'statement', 'command', 'statement', 'yes_no_question']"
49,I'd like to know if they have clean rooms or not.,5,"Yes, the rooms at Hobsons House are very clean. Would you like me to reserve a room at the hotel for you?",105,1,hotel,review,"Yes, the rooms at Hobson's House do seem to be clean. Past guests have described them as pristine and tidy.",107,2,hotel,review,0.17307177655786588,0.20836404372671696,0.37209302325581395,0.1951219512195122,0.3255813953488372,"['statement', 'command', 'statement', 'statement', 'command']"
50,Is there a good view?,7,"Yes there is according to the reviews left by previous guests.  Guests have called the views great, amazing, stunning, and the main reaso. Why they even stayed there.",166,4,hotel,review,"The Alexander Bed and Breakfast has a wonderful view of the ocean, and the surrounding areas of hotels. Would you like to book a room?",134,6,hotel,review,0.04771071459180573,0.060654573207874964,0.2264150943396226,0.03921568627450981,0.15094339622641512,"['statement', 'statement', 'command', 'statement', 'statement', 'statement', 'yes_no_question']"
51,Only if if they serve high quality sticky toffee pudding.,9,I'm not seeing great reviews on the sticky toffee pudding. Would you like me to check out another place?,104,3,restaurant,review,The Backstreet Bistro gets some mixed reviews on their food. Some customers thought the food was very good and fresh while others found the food to be gross and gross. Would you like me to find another place with better ratings?,228,5,restaurant,review,0.13262535617233528,0.20526703152618206,0.32786885245901637,0.20338983050847456,0.32786885245901637,"['statement', 'statement', 'statement', 'statement', 'opinion', 'opinion', 'yes_no_question', 'statement', 'statement']"
52,Is it away from high traffic noisy roads?,13,"Unfortunately, the majority of guests that have stayed at the Alexander Bed and Breakfast have been unhappy with the amount of traffic and noise levels due to thin walls.",170,8,hotel,review,"The Alexander Bed and Breakfast is in a quiet location, but it can get noisy at times. Would you like me to book that for you?",126,7,hotel,review,0.09208180229223382,0.1351779738714214,0.29090909090909095,0.15094339622641512,0.21818181818181817,"['statement', 'command', 'statement', 'statement', 'command', 'statement', 'statement', 'opinion', 'opinion', 'open_question_opinion', 'opinion', 'statement', 'open_question_opinion']"
53,Is the view great?,19,The view from the Acorn Guest House is found to be exceptionally exquisite by those who've stayed at the establishment.,119,5,hotel,review,"The views at the Acorn Guest House are described as beautiful, amazing, and unlike anything they've ever seen before.",117,9,restaurant,review,0.133641276031125,0.1985397924830225,0.3902439024390244,0.25641025641025644,0.3414634146341463,"['statement', 'opinion', 'open_question_opinion', 'opinion', 'opinion', 'statement', 'statement', 'open_question_factual', 'statement', 'statement', 'statement', 'command', 'command', 'command', 'command', 'command', 'command', 'statement', 'yes_no_question']"
54,Does the hotel often have clean bathrooms?,7,"Many prior guests have given the Lensfield a good review when it comes to clean bathrooms. However, I did see that a guest was disappointed in the cleanliness of their bathroom when they arrived. Would you like to check out some other places or would you like more information about the Lensfield?",297,4,hotel,review,"According to the reviews I have on hand for that location, the opinions are mixed.  One third found the bathrooms not as clean as they should be, while two thirds found them appreciated how clean they were.",206,2,hotel,review,0.011793144137221939,0.0766849750864594,0.24719101123595508,0.0,0.15730337078651685,"['opinion', 'command', 'statement', 'statement', 'opinion', 'statement', 'yes_no_question']"
55,Are there any rooms with a great view?,5,The Reviewers of the hotel thought that the rooms had excellent views. Is there anything else you need to know?,111,3,hotel,review,"The Lensfield Hotel has gorgeous views according to most guests, but one person said they couldn't get enough of it.",116,4,hotel,review,0.025828020030551086,0.13314994418981968,0.24390243902439024,0.0,0.1951219512195122,"['statement', 'opinion', 'opinion', 'statement', 'yes_no_question']"
56,"I am wondering, are the rooms at the Lenfield Hotel quiet?",11,The majority of people said that the Lensfield Hotel was very quiet. I was only able to find one complaint about noise.,119,8,hotel,review,"The rooms at the Lensfield Hotel are quiet according to most guests, but a few guests did complain about the noise.",115,8,hotel,review,0.08547736416923031,0.24143225771240814,0.37209302325581395,0.0975609756097561,0.37209302325581395,"['statement', 'statement', 'statement', 'statement', 'command', 'statement', 'statement', 'statement', 'neg_answer', 'statement', 'open_question_opinion']"
57,How is the view from the room I'd like a nice view,7,The Cambridge Belfry provides its patrons with spectacular views of both the forest and mountains during their travel.,118,2,hotel,review,The Cambridge Belfry has a spectacular view of the mountains from the balcony. Would you like me to book that for you?,118,3,hotel,review,0.07483887206915212,0.20181102683130267,0.39999999999999997,0.21052631578947367,0.39999999999999997,"['opinion', 'open_question_opinion', 'opinion', 'open_question_factual', 'opinion', 'statement', 'open_question_opinion']"
58,Which places serves highly rated gyros?,13,"They both get good reviews on their gyros. Traditional and authentic for La Mimosa and fresh, delicious, high-quality for Shiraz. Would you like to know more about either of them?",179,6,restaurant,review,The Shiraz Restaurant has very high ratings for their food. Would you like to know more about them?,99,22,restaurant,review,0.19117959238157986,0.19027616638420206,0.4897959183673469,0.25531914893617025,0.40816326530612246,"['statement', 'command', 'open_question_factual', 'statement', 'complaint', 'yes_no_question', 'statement', 'statement', 'yes_no_question', 'pos_answer', 'opinion', 'statement', 'open_question_opinion']"
