,turn_nr,dialogue_act_history,question,question_dialogue_act,reference_length,reference_response,reference_response_summary,reference_response_question,ref_knowledge,ref_know_nr,reference_domain,reference_doc_type,prediction_length,prediction_response,pred_know_nr,prediction_domain,prediction_doc_type,bleu,meteor,rouge1,rouge2,rougeL
0,21,"['statement', 'statement', 'opinion', 'opinion', 'command', 'command', 'command', 'command', 'open_question_opinion', 'opinion', 'opinion', 'command', 'command', 'command', 'opinion', 'statement', 'statement', 'statement', 'statement', 'statement', 'yes_no_question']",Does the allen Bell have a good variety of breakfast options? I love to eat in the morning.,yes_no_question,120,"For those that enjoy the first meal of the day, the Allenbell serves a great variety of delicious options for breakfast.","For those that enjoy the first meal of the day, the Allenbell serves a great variety of delicious options for breakfast.",,"['Breakfast was always delicious, visually appealing and fresh.', 'However, I was disappointed at the breakfast which was not special at all and small in quantity.', 'We did enjoy the variety at breakfast.', 'Breakfast was excellent with a lot of good options.', 'Each morning, we got a free breakfast with our room.']",7,hotel,faq,empty,empty,empty,empty,empty,0.0,0.0,0.0,0.0,0.0
0,3,"['command', 'statement', 'open_question_factual']","How much souvlaki is one serving there, and how good is it?",open_question_factual,140,"The De Luca Cucina and Bar has souvlaki, but I have no idea how much they serve or how good it is. Do you want to make a reservation anyway?","The De Luca Cucina and Bar has souvlaki, but I have no idea how much they serve or how good it is.",Do you want to make a reservation anyway?,"['I was very happy to see that the menu offered affordable prices for their modern European cuisine, and we decided on four different dishes to share, along with a bottle of Pinot Noir.']",1,restaurant,review,empty,empty,empty,empty,empty,0.0,0.0,0.0,0.0,0.0
0,9,"['open_question_opinion', 'statement', 'statement', 'statement', 'open_question_factual', 'statement', 'command', 'statement', 'statement']",Are the rooms inside Rosa's Bed and Breakfast big enough for multiple guests?,statement,126,"Yes, guests at Rosa's Bed and Breakfast have been thrilled with the size of the spacious rooms. Would you like to book a room?","Yes, guests at Rosa's Bed and Breakfast have been thrilled with the size of the spacious rooms.",Would you like to book a room?,"['The staff was really friendly when they checked me in, and I was thrilled with the size of the room.', 'I had plenty of room to do anything!', ""I stayed at Rosa's alone and I had plenty of space in the room."", 'I felt like I had a lot of space to move around in.', 'I did not expect such a large and spacious room.', 'To have the big room and that gorgeous view together was absolutely worth it.', 'I was also impressed with the size of the room.', 'My first impression upon entering the room was how big it was.', 'The bathroom was nice and clean, and the rooms were really big and spacious.']",9,hotel,review,empty,empty,empty,empty,empty,0.0,0.0,0.0,0.0,0.0
0,5,"['statement', 'command', 'statement', 'statement', 'yes_no_question']",Does The Archway House have fast and reliable wi-fi so I can connect to the Internet for work?,yes_no_question,170,"From the reviews, there are some folks who had trouble with the slow connection and couldn't use it. Would you like me to check out some other places with better ratings?","From the reviews, there are some folks who had trouble with the slow connection and couldn't use it.",Would you like me to check out some other places with better ratings?,"['The first thing I noticed was that the wireless Internet was not usable, it was extremely slow.']",3,hotel,faq,empty,empty,empty,empty,empty,0.0,0.0,0.0,0.0,0.0
0,7,"['yes_no_question', 'statement', 'statement', 'statement', 'statement', 'statement', 'yes_no_question']",Do they have relaxing beds?,yes_no_question,128,"The beds at the kirkwood are medium firm, and everyone pretty much says they feel amazing. Would you like to make a reservation?","The beds at the kirkwood are medium firm, and everyone pretty much says they feel amazing.",Would you like to make a reservation?,"['I slept really well the entire trip.', 'I would love to have this bed at home.', 'The bed was like sleeping on a cloud it was so comfortable.', 'However, we found that the bed was extremely comfortable for the both of us.', 'The medium firm mattress on the bed was an added merit because it was very comfortable.', 'I was sad to leave the bed.', 'And the bed was so comfortable.', 'And lastly, the room itself was extremely large and comfortable.']",8,hotel,review,empty,empty,empty,empty,empty,0.0,0.0,0.0,0.0,0.0
0,15,"['statement', 'open_question_opinion', 'other_answers', 'statement', 'statement', 'statement', 'statement', 'opinion', 'opinion', 'opinion', 'opinion', 'command', 'opinion', 'command', 'yes_no_question']",Do you get a lot for what you pay here?,yes_no_question,119,"The Autumn House's prices are satisfactory for the value, according to three recent guests who posted reviews about it.","The Autumn House's prices are satisfactory for the value, according to three recent guests who posted reviews about it.",,"['The Autumn House is a great value.', 'It was at a great location, the cheapest option nearby, so good value for the money, and even had a laundry facility.', ""The Autumn House is a good value if you don't need anything too fancy.""]",3,hotel,review,empty,empty,empty,empty,empty,0.0,0.0,0.0,0.0,0.0
0,7,"['yes_no_question', 'statement', 'open_question_opinion', 'statement', 'command', 'command', 'open_question_opinion']",Do the reviews mention a friendly and helpful staff?,open_question_opinion,152,The reviews on service at Taj Tandoori are positive with customers saying the staff was very attentive and good. Would you like to know more about them?,The reviews on service at Taj Tandoori are positive with customers saying the staff was very attentive and good.,Would you like to know more about them?,"['The food is good and our server was very attentive.', ""The food was of good portion and good atmosphere and services, but i didn't like the Mediocre foods""]",2,restaurant,review,empty,empty,empty,empty,empty,0.0,0.019631901840490802,0.0,0.0,0.0
0,15,"['opinion', 'open_question_opinion', 'thanking', 'command', 'command', 'statement', 'statement', 'open_question_opinion', 'opinion', 'statement', 'statement', 'open_question_opinion', 'opinion', 'opinion', 'yes_no_question']",Is the staff friendly?,yes_no_question,130,"The staff at Gonville Hotel are super friendly. They are very professional, helpful, and polite. Would you like to make a booking?","The staff at Gonville Hotel are super friendly.. They are very professional, helpful, and polite.",Would you like to make a booking?,"['Also the staffs were well trained, they helped me with the things that I needed and were polite at all times asking me what they could do more for me.', 'Room service was available, and the food was very unique and delicious, and the staff that brought it to us were always super friendly and professional.']",2,hotel,review,empty,empty,empty,empty,empty,0.0,0.02191780821917809,0.0,0.0,0.0
0,11,"['command', 'statement', 'statement', 'statement', 'command', 'open_question_opinion', 'opinion', 'opinion', 'opinion', 'opinion', 'command']",Could you tell me whether the Avalon offers a good value for the price?,command,172,The Avalon boasts clean bathrooms and no elevator service. Several recent guests have felt dissatisfied with the price. One guest decided they had good value for the money.,The Avalon boasts clean bathrooms and no elevator service.. Several recent guests have felt dissatisfied with the price.. One guest decided they had good value for the money.,,"[""But the value for the money just wasn't there."", 'I do have to say though, I thought that the room was overpriced for what it was, and I was disappointed that there was no elevator service.', 'I was happy with the clean bathroom, and overall I think I got a good value for my money.', ""I kept telling my family that I felt like we didn't pay enough for the services we were getting."", ""However, I found that the price per night for this room was too much and I wouldn't stay here of my own volition if I had to pay for it."", 'Honestly, Avalon is pretty overpriced for what you get.']",6,hotel,review,empty,empty,empty,empty,empty,0.0,0.0,0.0,0.0,0.0
0,5,"['statement', 'open_question_opinion', 'opinion', 'command', 'opinion']",Do they have relaxing beds?,opinion,117,"Yes, they do seem to have relaxing beds at Allenbell. Past guests have described them as being extremely comfortable.","Yes, they do seem to have relaxing beds at Allenbell.. Past guests have described them as being extremely comfortable.",,"['However, the beds in which we slept in were extremely comfortable and more than provided the rest we needed after climbing lots of stairs.']",1,hotel,review,empty,empty,empty,empty,empty,0.0,0.0,0.0,0.0,0.0
0,11,"['statement', 'open_question_factual', 'statement', 'open_question_opinion', 'statement', 'statement', 'statement', 'statement', 'neg_answer', 'statement', 'yes_no_question']",Does any place have specialized softer beds?,yes_no_question,189,The A and B Guest House gets really high marks for their beds with guests saying the beds were really comfortable and they got a great night's sleep. Would you like to know more about them?,The A and B Guest House gets really high marks for their beds with guests saying the beds were really comfortable and they got a great night's sleep.,Would you like to know more about them?,"[""I don't remember when I've slept in a bed more comfortable than the one here."", 'My boyfriend and I both thought the bed had a good firmness for our liking.', 'I got a great night of sleep!', 'I do appreciate the good breakfast options and the comfort of the bed, though.', 'The staff was really friendly when I checked in, and I was thrilled with how comfy the bed was.']",5,hotel,review,empty,empty,empty,empty,empty,0.0,0.0,0.0,0.0,0.0
0,3,"['statement', 'statement', 'statement']",Does it offer large food sizes?,statement,112,The Yippee Noodle Bar is a top ranked restaurant known for serving its customers with considerate food portions.,The Yippee Noodle Bar is a top ranked restaurant known for serving its customers with considerate food portions.,,"['Another plus were the portions.', 'Boy there was a lot of food!']",2,restaurant,review,empty,empty,empty,empty,empty,0.0,0.0,0.0,0.0,0.0
0,3,"['complaint', 'statement', 'opinion']",As long as it has nice indoor decoor im good.,opinion,104,It's not great and is somewhat dated. Would you like me to search for a better decorated option for you?,It's not great and is somewhat dated.,Would you like me to search for a better decorated option for you?,"['The downside was the inside decor looked like it was thrown together and looked a bit tacky.', ""I'd give it 4.5 stars, 5 if they updated the place a bit."", 'The staff were friendly and the dining room was spacious though the decor was a bit dated.']",3,restaurant,review,empty,empty,empty,empty,empty,0.0,0.0,0.0,0.0,0.0
0,13,"['statement', 'open_question_factual', 'opinion', 'opinion', 'opinion', 'statement', 'pos_answer', 'statement', 'opinion', 'statement', 'command', 'statement', 'open_question_opinion']",Is it a cleanly place?,open_question_opinion,111,"Yes, guests to Autumn House say the rooms are very clean. Should I check on availability for your travel dates?","Yes, guests to Autumn House say the rooms are very clean.",Should I check on availability for your travel dates?,['I was alone so I did not need much but it was very clean and had a nice view I enjoyed.'],1,hotel,review,empty,empty,empty,empty,empty,0.0,0.0,0.0,0.0,0.0
0,13,"['statement', 'statement', 'opinion', 'statement', 'opinion', 'open_question_factual', 'statement', 'open_question_factual', 'statement', 'statement', 'opinion', 'statement', 'command']",Could you tell me whether Alexander Bed and Breakfast has highly-rated breakfast menu items?,command,142,"Yes, the Alexander bed and Breakfast has good breakfast options according to guest reviews.  Is there anything else I can help you with today?","Yes, the Alexander bed and Breakfast has good breakfast options according to guest reviews.  ",Is there anything else I can help you with today?,"['Also, breakfast is delicious, they offer a good variety which surprised me.', 'We thought the room was super clean, and we very much enjoyed the breakfast options.']",3,hotel,review,empty,empty,empty,empty,empty,0.0,0.0,0.0,0.0,0.0
0,5,"['statement', 'statement', 'opinion', 'statement', 'open_question_opinion']",Does this restaurant offer nice views?,open_question_opinion,129,I have seen reviews stating it was a favorite part of their dining experience at Cote. Is there anything else you'd like to know?,I have seen reviews stating it was a favorite part of their dining experience at Cote.,Is there anything else you'd like to know?,['The view was my favorite part about Cote.'],1,restaurant,review,empty,empty,empty,empty,empty,0.0,0.0,0.0,0.0,0.0
0,7,"['open_question_opinion', 'open_question_factual', 'statement', 'statement', 'opinion', 'statement', 'yes_no_question']",Is the location convenient?,yes_no_question,189,The reviews on the location is mixed with some people loving the location for what was around it while others thought it was a little hard to get to. Would you like to know more about them?,The reviews on the location is mixed with some people loving the location for what was around it while others thought it was a little hard to get to.,Would you like to know more about them?,"['The Cambridge Belfry is a bit hard to get to considering the area and rush hour traffic.', 'Outside of the hotel, I found that this was an extremely desirable location to stay at.', 'It was close to where we needed to be and easy to get in and out of .']",3,hotel,review,empty,empty,empty,empty,empty,0.0,0.0,0.0,0.0,0.0
0,7,"['statement', 'opinion', 'opinion', 'open_question_factual', 'statement', 'statement', 'statement']","Hmm, am I getting a good deal at the Acorn? I don't want to pay more than the room is worth.",statement,150,"Yes, one generally receives a good deal when the choose to stay at the Acorn Guest House as previous guests have remarked that it's value at the cost.","Yes, one generally receives a good deal when the choose to stay at the Acorn Guest House as previous guests have remarked that it's value at the cost.",,"['It was within our price range and a good value for our money.', 'It was good value for money, overall.', 'For the price though it was totally worth it and I we plan on coming back soon.']",3,hotel,review,empty,empty,empty,empty,empty,0.0,0.0,0.0,0.0,0.0
0,11,"['yes_no_question', 'statement', 'statement', 'command', 'statement', 'command', 'statement', 'statement', 'open_question_opinion', 'statement', 'yes_no_question']",Does this hotel offer sanitary and clean bathrooms?,yes_no_question,113,"Yes, the bathrooms at El Shaddai are very clean.  Can I answer any other questions about the guest house for you?","Yes, the bathrooms at El Shaddai are very clean.  ",Can I answer any other questions about the guest house for you?,"['The bathroom was very clean.', 'The bathroom was great to use, as it was well cleaned and maintained.']",2,hotel,review,empty,empty,empty,empty,empty,0.0,0.0,0.0,0.0,0.0
0,15,"['command', 'statement', 'statement', 'statement', 'open_question_factual', 'command', 'command', 'command', 'command', 'yes_no_question', 'command', 'statement', 'yes_no_question', 'statement', 'yes_no_question']",Does Home from Home charge a fee for the WiFi?,yes_no_question,105,"No, Home From Home does not charge a fee for the Wi-Fi. The internet is free of additional charges there.","No, Home From Home does not charge a fee for the Wi-Fi.. The internet is free of additional charges there.",,"[""The bed was super comfortable though and the free wi-fi was handy, so we didn't have to use the data on our phones for the entire visit.""]",2,hotel,review,empty,empty,empty,empty,empty,0.0,0.0,0.0,0.0,0.0
0,5,"['statement', 'statement', 'statement', 'statement', 'open_question_factual']",How quiet is this hotel?,open_question_factual,122,"While at times it can be a bit noisy at night, for the most part, the Home From Home provides a quiet and calm experience.","While at times it can be a bit noisy at night, for the most part, the Home From Home provides a quiet and calm experience.",,"['it was a bit noisy at night.', 'It is a very quiet and calm area.', 'However, the room itself was silent and offered no disruptions to our enjoyment of the location.', 'I appreciated the quietness of the hotel, the excellent and very convenient location, and best of all they offered accessible parking, which came in really handy because my youngest child is handicapped.']",4,hotel,review,empty,empty,empty,empty,empty,0.0,0.0,0.0,0.0,0.0
0,17,"['statement', 'opinion', 'opinion', 'yes_no_question', 'statement', 'opinion', 'yes_no_question', 'statement', 'yes_no_question', 'statement', 'yes_no_question', 'statement', 'command', 'statement', 'statement', 'statement', 'open_question_factual']",Is the restaurant in a convenient and accessible location?,open_question_factual,101,Most reviews I found stated that the Mahal of Cambridge has a good location and parking is available.,Most reviews I found stated that the Mahal of Cambridge has a good location and parking is available.,,"['Oh, and the location is a bit far out there so it was hard to get to.', 'The restaurant definitely benefits a lot from being located right at the beautiful waterfront.', 'While the location is nice, when you walk in it just felt very drab.', 'However, while the location was quite nice, I found the view to be mediocre.', 'It was situated in the beautiful town square so we were excited.', 'The view is nice and they are easy to get to with plenty of parking.']",6,restaurant,review,empty,empty,empty,empty,empty,0.0,0.0,0.0,0.0,0.0
0,3,"['statement', 'statement', 'yes_no_question']",Do they serve large portions of food?,yes_no_question,176,"Customers don't agree about the portion sizes. Some describe them as being fair, and even on the bigger side, while others claim that they were still hungry after eating there.","Customers don't agree about the portion sizes.. Some describe them as being fair, and even on the bigger side, while others claim that they were still hungry after eating there.",,"['Portions were non-existent though.', 'We all liked the view and portions of food.', ""The Grafton Hotel's Restaurant has affordable British cuisine with fair portion sizes and great quality of food."", 'The only downside was the cut of Wellington was rather thin, so we were still hungry at the end of the night.', 'The food at the Grafton was authentic, affordable, delicious, and portioned on the bigger side.']",5,restaurant,review,empty,empty,empty,empty,empty,0.0,0.0,0.0,0.0,0.0
0,11,"['opinion', 'command', 'yes_no_question', 'command', 'command', 'command', 'command', 'command', 'statement', 'open_question_factual', 'open_question_factual']",Does the El Shaddai have have high ratings for clean bathrooms?,open_question_factual,127,"Yes, guest reviews have good things to say about the clean bathrooms. Can I answer anything else, or would you like to book it?","Yes, guest reviews have good things to say about the clean bathrooms.","Can I answer anything else, or would you like to book it?","['The bathroom was very clean.', 'The bathroom was great to use, as it was well cleaned and maintained.']",2,hotel,review,empty,empty,empty,empty,empty,0.0,0.0,0.0,0.0,0.0
0,7,"['statement', 'command', 'opinion', 'statement', 'opinion', 'command', 'yes_no_question']",Do you know if their rooms are clean?,yes_no_question,209,They both have mixed reviews from one end to the other. Some customers felt the rooms were extremely clean and others were not happy with it at all. Would you like me to find another place with better reviews?,They both have mixed reviews from one end to the other.. Some customers felt the rooms were extremely clean and others were not happy with it at all.,Would you like me to find another place with better reviews?,"['The room was very clean too which is always wonderful.', 'The room itself was very clean, though housekeeping was not done daily.', 'Perfect example, the room itself was not clean.', 'The room itself could have been better cleaned, and having to pay a high rate for hotel wifi is just unacceptable in 2021.', 'This room was very spacious and both the room and bathroom were extremely clean.', 'Everything else was a disaster, especially the lack of cleanliness in the room when we checked in, and the incredibly low water pressure in the bathroom when we took our morning showers.', 'Moreover, the room was very clean and neat.', 'Our room was amazingly clean and we had access to a wonderful shared kitchen.', 'However, the room itself had been recently cleaned and made pristine by housekeeping staff.', 'The rooms are clean as well which is definitely a plus.']",10,hotel,review,empty,empty,empty,empty,empty,0.0,0.0,0.0,0.0,0.0
0,5,"['statement', 'statement', 'command', 'statement', 'statement']",doe it have a clean baathroom,statement,139,"The bathrooms at home from home seem to be a bit dirty, but two person said the bathroom was very clean. Do you want to know anything else?","The bathrooms at home from home seem to be a bit dirty, but two person said the bathroom was very clean.",Do you want to know anything else?,"['The bathroom was kind of nasty and dirty.', 'I was not happy with the bathroom being a bit dirty.', 'I literally had to scrub the shower before I would use it.', 'The bathroom was really clean, which is important as it shows how much the staff cares about appearance and customer satisfaction.', 'Unfortunately, the name made me feel like it should be my home away from home, but I would never let my bathroom get as dirty as this one was.', 'It definitely could have done with better cleaning, but it is what it is.', 'The bathroom was really cared for, and spotless.']",7,hotel,review,empty,empty,empty,empty,empty,0.0,0.0,0.0,0.0,0.0
0,3,"['statement', 'statement', 'open_question_opinion']",How's the Baklava at Ali Baba compared to other restaurants?,open_question_opinion,136,The Ali Baba gets some really high ratings on their food from customers who ordered the Baklava. Would you like to know more about them?,The Ali Baba gets some really high ratings on their food from customers who ordered the Baklava.,Would you like to know more about them?,"[""we've never had Lebanese cuisine and didn't know what to expect but we all loved it."", 'The food and drinks were to die for.', 'I ordered a delicious dish called Baklava.', 'All of the food on the menu was of excellent quality.', 'Everyone wants to place this restaurant on our rotation because of how good it was.']",5,restaurant,review,empty,empty,empty,empty,empty,0.0,0.0,0.0,0.0,0.0
0,5,"['command', 'opinion', 'opinion', 'opinion', 'opinion']",Does it have quality Yangzhou Fried Rice?,opinion,114,"Yes, at least one guest said that the Yangzhour fried rice at this restaurant was the favorite part of their meal.","Yes, at least one guest said that the Yangzhour fried rice at this restaurant was the favorite part of their meal.",,"['Their food always tastes so authentic and wonderfully-prepared, and the best part is how amazingly affordable their entire menu is.', ""Definitely recommend their dumplings, and I can't wait to go back to get some more!"", 'The food was great and tasty that all of my friends enjoyed it.', ""We tried several of their authentic Chinese dishes, and thought the food quality was stellar, as well as their specialty drinks that you won't easily find anywhere else."", 'All of the ingredients in these were so fresh.', ""But if you're mostly interested in the food, I can't praise this place highly enough."", 'My favorite part of the meal was my Yangzhou fried rice!', 'The food was fresh and high quality.', 'I sneaked peeks at other tables, and the quality of food across the board seemed pretty high, and all the diners looked happy.', ""Don't miss the dumpings!"", 'But otherwise, this is hands down my favorite spot to go get some authentic and delicious dumplings.', 'You can tell they make them in-house by how fresh they are.', 'The only dislike I would have is that the food was a bit average at best.', 'The food was wonderful and high-quality and the drinks were also high-quality and delicious!', 'My son loved the Hot Pot and is already asking to return!', ""The view wasn't great though, but the food made up for the view and location."", 'The flavors and seasoning were perfect.', 'I highly recommend their dumplings, they were truly excellent!', 'It was flavorful and cooked to perfection.', 'So I recommend going for the food and skipping the drinks.', 'On top of the high quality and excellent value of their food, the atmosphere at Lan Hong House is just wonderful - lively yet welcoming, and never too loud to have an intimate conversation with your dining partners.', 'Everyone agreed the food was first rate, but we shied away from drinks due to the high prices.', 'When I got my order of spring rolls, I was taken aback by how good they were.', 'It was so wonderful to finally have something that was really made in-house every day.', 'We enjoyed the food much.', 'Delicious!', 'My family and I had a wonderful meal and will definitely be returning soon!', 'For the table, we also ordered the spring rolls and dumplings, which were simply delicious!', 'Lan Hong House is a terrific place to grab some Chinese after a long day at work.', 'The quality of the food was superb.']",30,restaurant,review,empty,empty,empty,empty,empty,0.0,0.0,0.0,0.0,0.0
0,3,"['command', 'statement', 'statement']","I would also like to know how good the staff is at this restaurant, are they quick and polite?",statement,170,"Many customers have stated that the staff was kind, courteous, great, and super friendly.  However there have been some that have stated that the staff was a little slow.","Many customers have stated that the staff was kind, courteous, great, and super friendly.  . However there have been some that have stated that the staff was a little slow.",,"['The service was a bit slow and I wish they had more options for drinks.', 'The wait staff could certainly be more friendly but the location is great as is the view from the patio.', 'The staff are super friendly, especially our server Laura.', 'The service was great as we were helped as soon as we walked in and seated immediately.', 'Our server was great, really friendly and helpful.', 'The food came in pretty quickly as well after ordering.', 'The highlight was the service was really good because the staff were super friendly and were there to take care of my needs and the location was in a good area of town.', 'The staff are all kind and courteous.']",8,restaurant,review,empty,empty,empty,empty,empty,0.0,0.0,0.0,0.0,0.0
0,7,"['opinion', 'opinion', 'opinion', 'statement', 'statement', 'statement', 'yes_no_question']",Is the internet connection strong enough for me to work off of during the day?,yes_no_question,126,A reviewer said that the internet was definitely strong. The internet is also free there. Could I help you with anything else?,A reviewer said that the internet was definitely strong.. The internet is also free there.,Could I help you with anything else?,"['My children commented on the strength of the available Internet connection.', 'It was a nice clean room with good wifi, which was great.']",4,hotel,review,empty,empty,empty,empty,empty,0.0,0.0,0.0,0.0,0.0
0,7,"['statement', 'statement', 'opinion', 'open_question_opinion', 'opinion', 'statement', 'yes_no_question']",Is the bed soft and comfortable?,yes_no_question,109,"Several guests felt that the beds were uncomfortable, although other guests reported the opposite experience.","Several guests felt that the beds were uncomfortable, although other guests reported the opposite experience.",,"[""I will say though, the bed wasn't really comfortable at all."", 'It made my back hurt like crazy when I woke up.', 'However, I felt that my bed was of extremely poor quality and was not comfortable.', 'The staff welcomed us with big smiles, and we slept like babies in the comfy beds.']",4,hotel,review,empty,empty,empty,empty,empty,0.0,0.0,0.0,0.0,0.0
