reference_response_question,avg_bleu,avg_meteor,avg_rouge1,avg_rouge2,avg_rougeL,num_samples
are you still interested in booking a table?,0.0,0.0,0.0,0.0,0.0,1
are you still interested in making a reservation?,0.0,0.01750227894257065,0.0,0.0,0.0,1
are you still interested in staying there?,0.0,0.0,0.0,0.0,0.0,1
are you still interested in the gourmet burger kitchen?,0.0,0.0,0.0,0.0,0.0,1
are you still interested in the the copper kettle?,0.0,0.0,0.0,0.0,0.0,1
are you still interested in this location?,0.0,0.0,0.0,0.0,0.0,2
are you still interested or should i find something else?,0.0,0.0,0.0,0.0,0.0,1
are you still interested or should i look for another option?,0.0,0.0,0.0,0.0,0.0,1
are you still interested or should i search for another location?,0.0,0.0,0.0,0.0,0.0,1
are you still interested or should i search for something else?,0.0,0.0,0.0,0.0,0.0,1
are you still interested or would you like to look at something else?,0.0,0.022802850356294542,0.0,0.0,0.0,1
"are you still interested, or should i choose another option?",0.0,0.0,0.0,0.0,0.0,1
"are you still interested, or should i find another option?",0.0,0.0210989010989011,0.0,0.0,0.0,1
"are you still interested, or should i look for another option for you?",0.0,0.0,0.0,0.0,0.0,1
"are you still interested, or should i search for something better?",0.0,0.0,0.0,0.0,0.0,1
"are you still interested, or should i search for something quieter?",0.0,0.0,0.0,0.0,0.0,1
"are you still interested, or would you like me to find an alternative?",0.0,0.0,0.0,0.0,0.0,1
"are you still interested, or would you like to try something else?",0.0,0.0,0.0,0.0,0.0,1
are you still interested?,0.0,0.0,0.0,0.0,0.0,6
can i answer any additional questions about frankie and bennys?,0.0,0.0,0.0,0.0,0.0,1
can i answer any additional questions about the hotel?,0.0,0.0,0.0,0.0,0.0,1
can i answer any additional questions about this location?,0.0,0.0,0.0,0.0,0.0,1
can i answer any additional questions for you about cityroomz?,0.0,0.02931297709923665,0.0,0.0,0.0,1
can i answer any additional questions for you or shall i book it?,0.0,0.0,0.0,0.0,0.0,1
can i answer any additional questions for you or would you like to book a room?,0.0,0.0,0.0,0.0,0.0,1
can i answer any additional questions for you today?,0.0,0.0,0.0,0.0,0.0,1
can i answer any additional questions for you?,0.0,0.0,0.0,0.0,0.0,2
can i answer any more questions about the hotel for you today?,0.0,0.0,0.0,0.0,0.0,1
can i answer any more questions about the restaurant for you?,0.0,0.0,0.0,0.0,0.0,1
can i answer any more questions for you?,0.0,0.0,0.0,0.0,0.0,2
can i answer any more questions or shall i book a room for you?,0.0,0.0,0.0,0.0,0.0,1
can i answer any more questions or would you like me to book it?,0.0,0.0,0.0,0.0,0.0,1
can i answer any other questions abou the a and b?,0.0,0.0,0.0,0.0,0.0,1
can i answer any other questions about archway house?,0.0,0.0,0.0,0.0,0.0,1
can i answer any other questions about india house for you?,0.0,0.0,0.0,0.0,0.0,1
can i answer any other questions about prezzo for you today?,0.0,0.0,0.0,0.0,0.0,1
can i answer any other questions about rice boat for you?,0.0,0.0,0.0,0.0,0.0,1
"can i answer any other questions about royal spice, or shall i book you a table?",0.0,0.0,0.0,0.0,0.0,1
can i answer any other questions about the allenbell for you?,0.0,0.0,0.0,0.0,0.0,1
can i answer any other questions about the gonville?,0.0,0.02857142857142858,0.0,0.0,0.0,1
can i answer any other questions about the guest house for you?,0.0,0.0,0.0,0.0,0.0,2
can i answer any other questions about the guesthouse for you today?,0.0,0.0,0.0,0.0,0.0,1
can i answer any other questions about the guesthouse for you?,0.0,0.0,0.0,0.0,0.0,1
can i answer any other questions about the hotel for you?,0.0,0.0,0.0,0.0,0.0,3
can i answer any other questions about the hotel?,0.0,0.005072655217965655,0.0,0.0,0.0,5
can i answer any other questions about the lodging?,0.0,0.0,0.0,0.0,0.0,1
can i answer any other questions about the restaurant for you?,0.0,0.0,0.0,0.0,0.0,5
can i answer any other questions about the restaurant?,0.0,0.0,0.0,0.0,0.0,1
can i answer any other questions about the university arms?,0.0,0.0,0.0,0.0,0.0,1
can i answer any other questions about this spot for you?,0.0,0.0,0.0,0.0,0.0,1
can i answer any other questions about zizzi cambridge?,0.0,0.0,0.0,0.0,0.0,1
can i answer any other questions for you about anatolia?,0.0,0.0,0.0,0.0,0.0,1
can i answer any other questions for you about archway house?,0.0,0.0,0.0,0.0,0.0,1
can i answer any other questions for you about bankok city?,0.0,0.0,0.0,0.0,0.0,1
can i answer any other questions for you about the express by holiday inn?,0.0,0.0,0.0,0.0,0.0,1
can i answer any other questions for you about the guest house?,0.0,0.0,0.0,0.0,0.0,1
can i answer any other questions for you about the hotel?,0.0,0.0,0.0,0.0,0.0,1
can i answer any other questions for you about the restaurant?,0.0,0.0,0.0,0.0,0.0,1
can i answer any other questions for you or book you a table?,0.0,0.0,0.0,0.0,0.0,1
can i answer any other questions for you or shall i book a room?,0.0,0.0210989010989011,0.0,0.0,0.0,1
can i answer any other questions for you or shall i book it?,0.0,0.0,0.0,0.0,0.0,1
can i answer any other questions for you or would you like to book it?,0.0,0.0,0.0,0.0,0.0,1
can i answer any other questions for you today?,0.0,0.0,0.0,0.0,0.0,6
"can i answer any other questions for you, or shall i book it?",0.0,0.0,0.0,0.0,0.0,1
"can i answer any other questions for you, or shall i go ahead and book it?",0.0,0.0,0.0,0.0,0.0,1
"can i answer any other questions for you, or would you like to book it?",0.0,0.0,0.0,0.0,0.0,1
can i answer any other questions for you?,0.0,0.0,0.0,0.0,0.0,16
can i answer any other questions or book a table for you?,0.0,0.0,0.0,0.0,0.0,1
can i answer any other questions or help you with anything else today?,0.0,0.0,0.0,0.0,0.0,2
can i answer any other questions or reserve a table for you?,0.0,0.0,0.0,0.0,0.0,1
can i answer any other questions or shall i book a table for you?,0.0,0.0,0.0,0.0,0.0,1
can i answer any other questions or shall i book a table?,0.0,0.0,0.0,0.0,0.0,1
can i answer any other questions or would you like me to book you a room?,0.0,0.0,0.0,0.0,0.0,1
can i answer any other questions to help you choose?,0.0,0.0,0.0,0.0,0.0,1
"can i answer any other questions, or shall i book it for you?",0.0,0.0,0.0,0.0,0.0,1
"can i answer any other questions, or should i check on availability?",0.0,0.0,0.0,0.0,0.0,1
"can i answer any other questions, or would you like me to book it for you?",0.0,0.0,0.0,0.0,0.0,1
"can i answer any other questions, or would you like me to reserve a room for you?",0.0,0.0,0.0,0.0,0.0,1
"can i answer any other questions, or would you like to book a table?",0.0,0.0,0.0,0.0,0.0,1
"can i answer any other questions, or would you like to book it?",0.0,0.0,0.0,0.0,0.0,1
can i answer any other questions?,0.0,0.0,0.0,0.0,0.0,5
can i answer anything else about caffe uno for you?,0.0,0.0,0.0,0.0,0.0,1
can i answer anything else about charlie chan for you?,0.0,0.0,0.0,0.0,0.0,1
can i answer anything else about curry prince?,0.0,0.0,0.0,0.0,0.0,1
can i answer anything else about graffiti for you?,0.0,0.0,0.0,0.0,0.0,1
can i answer anything else about home from home?,0.0,0.0,0.0,0.0,0.0,1
can i answer anything else about kohinoor?,0.0,0.0,0.0,0.0,0.0,1
"can i answer anything else about royal spice, or should i book it for you?",0.0,0.0,0.0,0.0,0.0,1
can i answer anything else about the acorn for you?,0.0,0.0,0.0,0.0,0.0,1
can i answer anything else about the ashley for you?,0.0,0.024806201550387603,0.0,0.0,0.0,1
can i answer anything else about the guesthouse?,0.0,0.0,0.0,0.0,0.0,1
can i answer anything else about the hotel or shall i book you a room?,0.0,0.0,0.0,0.0,0.0,1
can i answer anything else about the hotel?,0.0,0.0,0.0,0.0,0.0,2
can i answer anything else about the restaurant for you?,0.0,0.0,0.0,0.0,0.0,3
can i answer anything else about the restaurant?,0.0,0.0,0.0,0.0,0.0,3
can i answer anything else about these restaurants for you?,0.0,0.0,0.0,0.0,0.0,1
can i answer anything else about this location for you?,0.0,0.0,0.0,0.0,0.0,5
can i answer anything else before booking for you?,0.0,0.0,0.0,0.0,0.0,1
can i answer anything else before booking it for you?,0.0,0.0,0.0,0.0,0.0,1
can i answer anything else for you about autumn house?,0.0,0.0,0.0,0.0,0.0,1
can i answer anything else for you about dojo noodle bar?,0.0,0.0,0.0,0.0,0.0,1
can i answer anything else for you about el shaddai?,0.0,0.0,0.0,0.0,0.0,1
can i answer anything else for you about golden house?,0.0,0.0,0.0,0.0,0.0,1
"can i answer anything else for you about golden wok, or would you like a reservation?",0.0,0.0,0.0,0.0,0.0,1
"can i answer anything else for you about hk fusion, or book a table?",0.0,0.0,0.0,0.0,0.0,1
can i answer anything else for you about hobsons house?,0.0,0.0,0.0,0.0,0.0,1
can i answer anything else for you about meze bar?,0.0,0.0,0.0,0.0,0.0,1
can i answer anything else for you about restaurant alimentum?,0.0,0.0,0.0,0.0,0.0,1
can i answer anything else for you about saint johns chop house?,0.0,0.0,0.0,0.0,0.0,1
"can i answer anything else for you about the curry prince, or book a table?",0.0,0.0,0.0,0.0,0.0,1
can i answer anything else for you about the gandhi?,0.0,0.0,0.0,0.0,0.0,1
can i answer anything else for you about the gonville or help with something else?,0.0,0.0,0.0,0.0,0.0,1
can i answer anything else for you about the hotel?,0.0,0.013483676165314214,0.0,0.0,0.0,4
can i answer anything else for you about the restaurant?,0.0,0.00518918918918919,0.0,0.0,0.0,5
can i answer anything else for you about the rice boat today?,0.0,0.0,0.0,0.0,0.0,1
can i answer anything else for you about this location?,0.0,0.0,0.0,0.0,0.0,1
can i answer anything else for you about this restaurant?,0.0,0.0,0.0,0.0,0.0,1
can i answer anything else for you before making a reservation?,0.0,0.0,0.0,0.0,0.0,1
can i answer anything else for you or book a table?,0.0,0.0,0.0,0.0,0.0,1
can i answer anything else for you or book you a table?,0.0,0.022802850356294542,0.0,0.0,0.0,1
can i answer anything else for you or shall i book you a table?,0.0,0.0,0.0,0.0,0.0,1
can i answer anything else for you or should i book it for you?,0.0,0.0,0.0,0.0,0.0,1
can i answer anything else for you or should i check on availability?,0.0,0.0,0.0,0.0,0.0,1
can i answer anything else for you or would you like to book it?,0.0,0.0,0.0,0.0,0.0,1
"can i answer anything else for you today, or book a table?",0.0,0.0,0.0,0.0,0.0,1
can i answer anything else for you today?,0.0,0.0,0.0,0.0,0.0,5
can i answer anything else for you?,0.0,0.0,0.0,0.0,0.0,15
can i answer anything else or check on availability for you?,0.0,0.0,0.0,0.0,0.0,1
can i answer anything else or shall i book a table for you?,0.0,0.0,0.0,0.0,0.0,1
can i answer anything else or shall i book it for you?,0.0,0.0,0.0,0.0,0.0,1
can i answer anything else or should i book it for you?,0.0,0.0,0.0,0.0,0.0,1
can i answer anything else or would you like a reservation?,0.0,0.0,0.0,0.0,0.0,1
can i answer anything else or would you like me to book it for you?,0.0,0.0,0.0,0.0,0.0,1
can i answer anything else or would you like me to book it?,0.0,0.0,0.0,0.0,0.0,1
can i answer anything else or would you like to book a table?,0.0,0.0,0.0,0.0,0.0,1
can i answer anything else or would you like to book?,0.0,0.0,0.0,0.0,0.0,1
can i answer anything else to help you choose between the two restaurants?,0.0,0.0,0.0,0.0,0.0,1
can i answer anything else to help you choose between them?,0.0,0.0,0.0,0.0,0.0,1
can i answer anything else to help you decide?,0.0,0.0,0.0,0.0,0.0,1
can i answer anything else today or reserve a table for you?,0.0,0.0,0.0,0.0,0.0,1
can i answer anything else you about the hotel?,0.0,0.0,0.0,0.0,0.0,1
"can i answer anything else, or book a table for you?",0.0,0.0,0.0,0.0,0.0,1
"can i answer anything else, or shall i book a room for you?",0.0,0.0,0.0,0.0,0.0,1
"can i answer anything else, or shall i book a table for you?",0.0,0.0,0.0,0.0,0.0,1
"can i answer anything else, or shall i book it for you?",0.0,0.0,0.0,0.0,0.0,1
"can i answer anything else, or should i book a room for you?",0.0,0.0,0.0,0.0,0.0,1
"can i answer anything else, or would you like a booking?",0.0,0.022351571594877773,0.0,0.0,0.0,1
"can i answer anything else, or would you like to book a table?",0.0,0.0,0.0,0.0,0.0,1
"can i answer anything else, or would you like to book it?",0.0,0.0,0.0,0.0,0.0,1
"can i answer anything else, or would you like to make a reservation?",0.0,0.0,0.0,0.0,0.0,1
can i answer anything else?,0.0,0.0012668250197941412,0.0,0.0,0.0,18
can i answer anything for you about the guest house?,0.0,0.0,0.0,0.0,0.0,1
can i answer anything for you?,0.0,0.0,0.0,0.0,0.0,1
can i anwwer any other questions for you?,0.0,0.0,0.0,0.0,0.0,1
can i assist you in making a reservation?,0.0,0.0,0.0,0.0,0.0,1
can i assist you with anything else?,0.0,0.004455445544554455,0.0,0.0,0.0,4
can i assist you with something else?,0.0,0.0,0.0,0.0,0.0,1
can i be of any other assistance to you?,0.0,0.0,0.0,0.0,0.0,1
can i be of further assistance to you today?,0.0,0.0,0.0,0.0,0.0,1
can i be of further assistance today?,0.0,0.0,0.0,0.0,0.0,1
can i be of further assistance?,0.0,0.0,0.0,0.0,0.0,2
can i book a reservation for you for your upcoming stay?,0.0,0.0,0.0,0.0,0.0,1
can i book a reservation for you?,0.0,0.0,0.0,0.0,0.0,1
can i book a room for you?,0.0,0.0,0.0,0.0,0.0,8
can i book a stay for you?,0.0,0.0,0.0,0.0,0.0,2
can i book a table for you?,0.0,0.0,0.0,0.0,0.0,4
can i book it for you?,0.0,0.007600950118764847,0.0,0.0,0.0,3
can i book it?,0.0,0.0,0.0,0.0,0.0,2
can i book this for you?,0.0,0.0,0.0,0.0,0.0,1
can i book you a reservation some place else or is that ok?,0.0,0.0,0.0,0.0,0.0,1
can i book you a room?,0.0,0.0,0.0,0.0,0.0,1
can i book you a table?,0.0,0.022351571594877773,0.0,0.0,0.0,1
can i book you any rooms?,0.0,0.0,0.0,0.0,0.0,1
can i check availability for you?,0.0,0.0,0.0,0.0,0.0,1
can i check on availability and book a table for you?,0.0,0.0,0.0,0.0,0.0,1
can i check on availability for you?,0.0,0.0,0.0,0.0,0.0,1
can i check on room availability for your travel dates?,0.0,0.0,0.0,0.0,0.0,1
can i do anything else for you?,0.0,0.0,0.0,0.0,0.0,1
can i find any more information for you?,0.0,0.005084745762711865,0.0,0.0,0.0,4
can i find any other information for you?,0.0,0.0,0.0,0.0,0.0,1
can i find out any more information for you?,0.0,0.0,0.0,0.0,0.0,2
can i get you any additional information about the lodge?,0.0,0.0,0.0,0.0,0.0,1
can i get you any more information?,0.0,0.0,0.0,0.0,0.0,1
can i help answer anything else?,0.0,0.0,0.0,0.0,0.0,1
can i help with any other information?,0.0,0.0,0.0,0.0,0.0,1
can i help with anything else?,0.0,0.0,0.0,0.0,0.0,5
can i help with making a reservation for you?,0.0,0.0,0.0,0.0,0.0,1
can i help you book a room there?,0.0,0.0,0.0,0.0,0.0,1
can i help you book a table at curry garden?,0.0,0.0,0.0,0.0,0.0,1
can i help you book the gonville hotel?,0.0,0.018972332015810278,0.0,0.0,0.0,1
can i help you make a booking?,0.0,0.0,0.0,0.0,0.0,1
can i help you make a reservation or can i give you more information first?,0.0,0.0,0.0,0.0,0.0,1
can i help you reserve a table or do you have more questions?,0.0,0.0,0.0,0.0,0.0,1
can i help you with any additional information?,0.0,0.0,0.0,0.0,0.0,1
can i help you with any more information on anything else?,0.0,0.0,0.0,0.0,0.0,1
can i help you with any other information about hakka?,0.0,0.0,0.0,0.0,0.0,1
can i help you with any other information about restaurant two two?,0.0,0.0,0.0,0.0,0.0,1
can i help you with any other information today?,0.0,0.0,0.0,0.0,0.0,1
can i help you with anymore information?,0.0,0.0,0.0,0.0,0.0,1
can i help you with anything else for your trip today?,0.0,0.023272727272727278,0.0,0.0,0.0,1
can i help you with anything else like book a room?,0.0,0.021500559910414344,0.0,0.0,0.0,1
can i help you with anything else or can i book you a room?,0.0,0.0,0.0,0.0,0.0,1
can i help you with anything else or would you like me to continue to book the room?,0.0,0.0,0.0,0.0,0.0,1
can i help you with anything else today or is that all you need?,0.0,0.0,0.0,0.0,0.0,1
can i help you with anything else today?,0.0,0.0030040201733368644,0.0,0.0,0.0,23
can i help you with anything else tonight?,0.0,0.0,0.0,0.0,0.0,1
"can i help you with anything else, or answer other questions?",0.0,0.0,0.0,0.0,0.0,1
"can i help you with anything else, or book a table for you?",0.0,0.0,0.0,0.0,0.0,1
can i help you with anything else?,0.0,0.001997177850724739,0.0,0.0,0.0,98
can i let you know anything else about the hotel?,0.0,0.0,0.0,0.0,0.0,1
can i look into another location for you?,0.0,0.0,0.0,0.0,0.0,1
can i make a booking for you?,0.0,0.0,0.0,0.0,0.0,1
can i make a reservation for you?,0.0,0.0,0.0,0.0,0.0,1
can i proceed and make a reservation for you?,0.0,0.0,0.0,0.0,0.0,1
can i provide any more information for you about this location?,0.0,0.0,0.0,0.0,0.0,1
can i provide any other information for you?,0.0,0.0,0.0,0.0,0.0,1
can i provide you more information or book it for you?,0.0,0.0,0.0,0.0,0.0,1
can i reserve a room for you?,0.0,0.0,0.0,0.0,0.0,2
can i reserve the outdoor dining area so that you can have a perfect view while eating?,0.0,0.0,0.0,0.0,0.0,1
can i search for something better for you?,0.0,0.0,0.0,0.0,0.0,1
can i tell you anything else about el shaddai?,0.0,0.0,0.0,0.0,0.0,1
can i tell you anything else about el sheddai?,0.0,0.0,0.0,0.0,0.0,1
can i tell you anything else about it or can i go ahead and book it for you?,0.0,0.0,0.0,0.0,0.0,1
"can i tell you anything else about the guest house, or check availability for you?",0.0,0.0,0.0,0.0,0.0,1
can we book?,0.0,0.0,0.0,0.0,0.0,1
can you help with anything else today?,0.0,0.024273072060682688,0.0,0.0,0.0,1
can you tell me some information about the train you need?,0.0,0.0,0.0,0.0,0.0,1
confusing huh?,0.0,0.010786516853932584,0.0,0.0,0.0,1
could i help you with anything else?,0.0,0.0,0.0,0.0,0.0,1
could you tell me when you would like to go?,0.0,0.0,0.0,0.0,0.0,1
did this help you at all?,0.0,0.0,0.0,0.0,0.0,1
did you need any more information?,0.0,0.0,0.0,0.0,0.0,1
did you still want to keep your reservation?,0.0,0.0,0.0,0.0,0.0,1
did you want information on anything else about them?,0.0,0.0,0.0,0.0,0.0,1
did you want me to check availability on a different day or time?,0.0,0.0,0.0,0.0,0.0,1
did you want me to get information on pizza express and pizza hut as well?,0.0,0.0,0.0,0.0,0.0,1
did you want to book a room?,0.0,0.0,0.0,0.0,0.0,1
did you want to try a shorter stay?,0.0,0.0,0.0,0.0,0.0,1
do either of those sound good to you?,0.0,0.0,0.0,0.0,0.0,1
do have any other questions that i can help you with?,0.0,0.0,0.0,0.0,0.0,1
do you any other questions about the restaurant?,0.0,0.0,0.0,0.0,0.0,1
do you have additional questions?,0.0,0.01054945054945055,0.0,0.0,0.0,2
do you have another question?,0.0,0.0,0.0,0.0,0.0,2
do you have another questions today?,0.0,0.0,0.0,0.0,0.0,1
do you have any additional questions about royal spice?,0.0,0.0,0.0,0.0,0.0,1
do you have any additional questions about the acorn guest house?,0.0,0.023762376237623766,0.0,0.0,0.0,1
do you have any additional questions about the gonville?,0.0,0.0,0.0,0.0,0.0,1
do you have any additional questions about their menu?,0.0,0.0,0.0,0.0,0.0,1
do you have any additional questions or should i book it for you?,0.0,0.0,0.0,0.0,0.0,1
do you have any additional questions?,0.0,0.0,0.0,0.0,0.0,1
do you have any further questions about ask?,0.0,0.0,0.0,0.0,0.0,1
do you have any further questions about the huntingdon marriott hotel?,0.0,0.0,0.0,0.0,0.0,1
do you have any further questions about the property?,0.0,0.0,0.0,0.0,0.0,1
do you have any further questions about the restaurant?,0.0,0.0,0.0,0.0,0.0,1
do you have any further questions?,0.0,0.001951021237679098,0.0,0.0,0.0,13
do you have any more questions about curry prince?,0.0,0.0,0.0,0.0,0.0,1
do you have any more questions about dojo noodle bar?,0.0,0.0,0.0,0.0,0.0,1
do you have any more questions about golden wok?,0.0,0.0,0.0,0.0,0.0,1
do you have any more questions about nandos?,0.0,0.0,0.0,0.0,0.0,1
do you have any more questions about the property?,0.0,0.01207547169811321,0.0,0.0,0.0,1
do you have any more questions about wagamama?,0.0,0.0,0.0,0.0,0.0,1
do you have any more questions for me today?,0.0,0.0,0.0,0.0,0.0,1
do you have any more questions for me?,0.0,0.0,0.0,0.0,0.0,1
do you have any more questions i can answer about the restaurant?,0.0,0.0,0.0,0.0,0.0,1
do you have any more questions i can help you with?,0.0,0.0,0.0,0.0,0.0,2
do you have any more questions or should i book a room?,0.0,0.0,0.0,0.0,0.0,1
do you have any more questions today?,0.0,0.0,0.0,0.0,0.0,1
do you have any other hotels you'd like me to look up?,0.0,0.0,0.0,0.0,0.0,1
do you have any other questions about alpha-milton guest house?,0.0,0.0,0.0,0.0,0.0,1
do you have any other questions about ashley hotel?,0.0,0.0,0.0,0.0,0.0,1
do you have any other questions about bangkok city?,0.0,0.0,0.0,0.0,0.0,1
do you have any other questions about caffe uno?,0.0,0.0,0.0,0.0,0.0,2
do you have any other questions about cambridge lodge?,0.0,0.0,0.0,0.0,0.0,1
do you have any other questions about da vinci pizzeria?,0.0,0.0,0.0,0.0,0.0,1
do you have any other questions about dojo noodle bar?,0.0,0.0,0.0,0.0,0.0,1
do you have any other questions about dojo?,0.0,0.0,0.0,0.0,0.0,1
do you have any other questions about don paquale?,0.0,0.0,0.0,0.0,0.0,1
do you have any other questions about eraina?,0.0,0.0,0.0,0.0,0.0,1
do you have any other questions about express by holiday inn cambridge?,0.0,0.0,0.0,0.0,0.0,1
do you have any other questions about fitzbillies restaurant?,0.0,0.0,0.0,0.0,0.0,1
do you have any other questions about gonville hotel?,0.0,0.0,0.0,0.0,0.0,1
do you have any other questions about gonville?,0.0,0.0,0.0,0.0,0.0,1
do you have any other questions about kymmoy that i can answer for you?,0.0,0.0,0.0,0.0,0.0,1
do you have any other questions about lan hong house?,0.0,0.0,0.0,0.0,0.0,2
do you have any other questions about meghna?,0.0,0.0,0.0,0.0,0.0,1
do you have any other questions about rosa's before i book it?,0.0,0.022802850356294542,0.0,0.0,0.0,1
do you have any other questions about saigon city?,0.0,0.0,0.0,0.0,0.0,1
do you have any other questions about thanh binh?,0.0,0.0,0.0,0.0,0.0,2
do you have any other questions about the b&b?,0.0,0.0,0.0,0.0,0.0,1
do you have any other questions about the cambridge belfry?,0.0,0.0,0.0,0.0,0.0,1
do you have any other questions about the cambridge chop house?,0.0,0.0,0.0,0.0,0.0,1
do you have any other questions about the gardenia?,0.0,0.0,0.0,0.0,0.0,1
do you have any other questions about the hotel that i can help you with?,0.0,0.0,0.0,0.0,0.0,1
do you have any other questions about the hotel?,0.0,0.0,0.0,0.0,0.0,6
do you have any other questions about the menu at meghna?,0.0,0.0,0.0,0.0,0.0,1
do you have any other questions about the menu?,0.0,0.005131860299358518,0.0,0.0,0.0,2
do you have any other questions about the missing sock?,0.0,0.0,0.0,0.0,0.0,1
do you have any other questions about the place?,0.0,0.019631901840490802,0.0,0.0,0.0,1
do you have any other questions about the property?,0.0,0.0050577024197402355,0.0,0.0,0.0,7
do you have any other questions about the restaurant?,0.0,0.0,0.0,0.0,0.0,17
do you have any other questions about the rooms?,0.0,0.0,0.0,0.0,0.0,1
do you have any other questions about their menu?,0.0,0.0,0.0,0.0,0.0,1
