,count
"('could', 'i')",1
"('i', 'help')",163
"('with', 'anything')",156
"('sounds', 'good,')",8
"('good,', 'right?')",8
"('about', 'them')",85
"('them', 'or')",85
"('or', 'should')",96
"('i', 'look')",59
"('look', 'at')",67
"('at', 'some')",24
"('other', 'places?')",57
"('you', 'have')",309
"('have', 'any')",281
"('the', 'hotel?')",36
"('or', 'book')",13
"('a', 'table?')",151
"('about', 'this')",18
"('this', 'restaurant?')",4
"('you', 'still')",66
"('still', 'like')",24
"('to', 'keep')",11
"('keep', 'your')",9
"('your', 'reservation?')",25
"('look', 'for')",124
"('for', 'another')",98
"('another', 'place?')",84
"('the', 'lensfield')",1
"('lensfield', 'or')",1
"('check', 'into')",2
"('into', 'other')",1
"('book', 'you')",76
"('you', 'a')",109
"('a', 'table')",184
"('table', 'to')",1
"('to', 'eat')",3
"('eat', 'outdoors?')",1
"('you', 'with?')",177
"('other', 'questions?')",135
"('want', 'a')",71
"('will', 'that')",63
"('that', 'work')",50
"('work', 'for')",47
"('for', 'you')",140
"('you', 'or')",32
"('i', 'find')",25
"('another', 'option?')",39
"('like', 'a')",85
"('reservation', 'with')",1
"('with', 'them?')",2
"('any', 'further')",19
"('further', 'questions?')",15
"('that', 'be')",2
"('be', 'okay,')",2
"('okay,', 'or')",2
"('at', 'one')",7
"('one', 'of')",15
"('of', 'the')",22
"('the', 'other')",9
"('other', 'upscale')",1
"('upscale', 'options?')",1
"('does', 'that')",54
"('that', 'sound')",50
"('sound', 'good?')",12
"('another', 'restaurant')",15
"('restaurant', 'that')",7
"('that', 'serves')",5
"('serves', 'larger')",1
"('larger', 'portions?')",1
"('to', 'contact')",3
"('contact', 'the')",3
"('the', 'hotel')",18
"('hotel', 'to')",1
"('to', 'ask')",4
"('ask', 'them')",7
"('them', 'directly?')",6
"('you', 'need')",172
"('need', 'anything')",22
"('there', 'any')",72
"('other', 'information')",57
"('information', 'that')",21
"('that', 'you')",40
"('you', 'need?')",37
"('know', 'more?')",35
"('a', 'room')",174
"('room', 'at')",19
"('at', 'the')",18
"('the', 'ashley?')",1
"('find', 'a')",97
"('a', 'place')",66
"('better', 'ratings')",6
"('ratings', 'on')",6
"('on', 'the')",21
"('the', 'view?')",1
"('out', 'other')",8
"('to', 'a')",2
"('a', 'restaurant')",12
"('restaurant', 'with')",15
"('with', 'a')",30
"('better', 'view?')",8
"('another', 'option')",23
"('to', 'look')",149
"('look', 'elsewhere?')",25
"('to', 'go')",13
"('go', 'ahead')",24
"('ahead', 'and')",20
"('and', 'book')",17
"('to', 'see')",21
"('see', 'if')",19
"('if', 'they')",10
"('they', 'have')",12
"('have', 'some')",3
"('some', 'of')",1
"('of', 'their')",4
"('their', 'larger')",2
"('larger', 'rooms')",3
"('rooms', 'available')",1
"('available', 'right')",1
"('right', 'now?')",1
"('i', 'book')",143
"('table', 'for')",93
"('can', 'find')",21
"('find', 'out')",27
"('out', 'for')",7
"('you', 'about')",59
"('the', 'gandhi?')",3
"('want', 'more')",3
"('more', 'info')",3
"('info', 'or')",2
"('or', 'to')",1
"('keep', 'searching?')",4
"('find', 'you')",2
"('you', 'another')",1
"('else', 'you')",108
"('need', 'to')",72
"('another', 'chinese')",2
"('chinese', 'restaurant')",1
"('restaurant', 'for')",19
"('room', 'there?')",63
"('place', 'for')",12
"('questions', 'for')",54
"('or', 'shall')",19
"('shall', 'i')",60
"('like', 'help')",28
"('help', 'booking')",7
"('booking', 'a')",37
"('i', 'be')",5
"('be', 'of')",5
"('of', 'further')",4
"('further', 'assistance?')",2
"('need', 'more')",20
"('more', 'information?')",73
"('to', 'try')",57
"('try', 'a')",9
"('a', 'different')",38
"('different', 'option?')",3
"('know', 'about')",150
"('at', 'another')",16
"('another', 'location?')",7
"('are', 'you')",99
"('you', 'interested')",56
"('interested', 'in')",85
"('in', 'booking')",32
"('booking', 'or')",4
"('like', 'another')",5
"('place', 'that')",27
"('that', 'has')",6
"('has', 'more')",1
"('more', 'options?')",7
"('that', 'does?')",14
"('make', 'your')",1
"('your', 'reservation')",4
"('to', 'reserve')",70
"('reserve', 'a')",66
"('room', 'for')",82
"('you', 'there')",1
"('there', 'or')",26
"('or', 'can')",11
"('other', 'questions??')",1
"('what', 'else')",25
"('else', 'are')",1
"('you', 'looking')",6
"('looking', 'for')",4
"('for', 'in')",1
"('in', 'a')",22
"('a', 'hotel')",3
"('hotel', 'in')",1
"('in', 'order')",1
"('order', 'to')",1
"('to', 'narrow')",1
"('narrow', 'down')",2
"('down', 'your')",2
"('your', 'choice?')",2
"('sounds', 'friendly,')",1
"('friendly,', 'right?')",1
"('in', 'staying')",10
"('staying', 'there?')",9
"('what', 'days')",4
"('days', 'are')",1
"('looking', 'to')",1
"('to', 'stay')",33
"('stay', 'there?')",31
"('if', 'we')",1
"('we', 'can')",1
"('can', 'reserve')",1
"('a', 'window')",1
"('window', 'seat')",1
"('seat', 'for')",1
"('else', 'or')",26
"('days', 'will')",1
"('will', 'you')",2
"('you', 'be')",16
"('be', 'travelling?')",1
"('help', 'with?')",8
"('need', 'any')",41
"('any', 'more')",72
"('more', 'information')",128
"('information', 'about')",84
"('the', 'restaurant?')",59
"('want', 'me')",33
"('reservation', 'for')",108
"('i', 'search')",40
"('better', 'option')",5
"('else', 'for')",58
"('the', 'curry')",2
"('curry', 'prince,')",1
"('prince,', 'or')",1
"('like', 'more')",83
"('information', 'on')",36
"('on', 'it?')",4
"('i', 'continue')",3
"('continue', 'the')",1
"('the', 'search')",1
"('search', 'and')",1
"('and', 'find')",2
"('find', 'something')",5
"('something', 'quieter?')",3
"('i', 'reserve')",5
"('want', 'that')",1
"('that', 'or')",1
"('or', 'do')",42
"('information', 'first?')",2
"('else', 'that')",59
"('that', 'i')",86
"('you', 'satisfied')",1
"('satisfied', 'with')",1
"('with', 'the')",4
"('the', 'booking')",2
"('check', 'another')",4
"('another', 'hotel?')",8
"('table', 'there?')",18
"('for', 'you,')",14
"('you,', 'or')",13
"('i', 'run')",1
"('run', 'another')",1
"('another', 'search?')",4
"('to', 'choose')",2
"('choose', 'that')",1
"('that', 'one?')",1
"('reservation', 'at')",21
"('at', 'allenbell')",1
"('allenbell', 'for')",2
"('other', 'restaurants?')",6
"('place', 'in')",6
"('in', 'the')",16
"('the', 'same')",7
"('same', 'vicinity?')",3
"('some', 'mixed')",1
"('mixed', 'signals')",1
"('signals', 'there,')",1
"('there,', 'eh?')",1
"('for', 'the')",8
"('the', 'outdoor')",2
"('outdoor', 'dining')",4
"('dining', 'area?')",1
"('in', 'making')",25
"('making', 'a')",34
"('should', 'we')",13
"('we', 'look')",4
"('at', 'other')",18
"('other', 'options?')",45
"('you', 'would')",56
"('would', 'like')",57
"('about', 'their')",14
"('their', 'menu?')",10
"('book', 'it')",83
"('it', 'for')",77
"('for', 'other')",16
"('i', 'choose')",5
"('choose', 'another')",5
"('another', 'one')",1
"('one', 'instead?')",1
"('help', 'answer')",1
"('the', 'restaurant')",13
"('to', 'assist')",3
"('assist', 'you')",11
"('you', 'in')",3
"('to', 'cancel')",2
"('cancel', 'the')",4
"('booking', 'and')",1
"('and', 'look')",1
"('different', 'restaurant?')",2
"('more', 'questions')",19
"('questions', 'or')",15
"('the', 'availability')",6
"('availability', 'of')",6
"('the', 'larger')",1
"('larger', 'rooms?')",6
"('else', 'today?')",28
"('reserve', 'you')",14
"('table', 'now')",2
"('now', 'or')",4
"('have', 'other')",8
"('questions', 'i')",14
"('with', 'more')",17
"('more', 'offerings?')",1
"('you', 'there?')",12
"('at', 'hobsons')",2
"('hobsons', 'house?')",2
"('have', 'additional')",4
"('additional', 'questions?')",7
"('check', 'availability')",9
"('your', 'preferred')",2
"('preferred', 'days?')",1
"('your', 'party?')",7
"('with', 'any')",7
"('about', 'hakka?')",2
"('try', 'one')",3
"('did', 'you')",8
"('about', 'nandos?')",5
"('the', 'property?')",11
"('like', 'any')",18
"('other', 'information?')",21
"('the', 'worth')",3
"('worth', 'house?')",5
"('you', 'at')",20
"('at', 'ashley')",1
"('ashley', 'hotel?')",3
"('a', 'stay?')",2
"('table', 'outdoors?')",4
"('anything', 'for')",2
"('guest', 'house?')",14
"('booking', 'it?')",8
"('sound', 'good')",69
"('good', 'enough')",3
"('enough', 'for')",2
"('is', 'that')",34
"('that', 'going')",13
"('going', 'to')",13
"('to', 'be')",22
"('be', 'a')",13
"('a', 'problem')",3
"('problem', 'for')",1
"('are', 'there')",25
"('questions', 'that')",32
"('can', 'try')",4
"('try', 'to')",11
"('to', 'answer')",3
"('answer', 'for')",25
"('at', 'this')",22
"('this', 'time?')",19
"('you', 'interested?')",3
"('other', 'hotels')",3
"('hotels', ""you'd"")",1
"('look', 'up?')",1
"('need', 'help')",8
"('help', 'with')",31
"('if', 'that')",1
"('that', 'sounds')",3
"('sounds', 'good')",3
"('good', 'to')",69
"('to', 'you,')",2
"('you,', 'then')",1
"('then', 'i')",1
"('i', 'will')",1
"('will', 'go')",1
"('the', 'good')",1
"('good', 'luck')",1
"('luck', 'chinese')",1
"('chinese', 'food')",1
"('food', 'takeaway?')",1
"('to', 'give')",19
"('give', 'it')",5
"('it', 'a')",7
"('a', 'try?')",13
"('or', 'have')",35
"('have', 'me')",34
"('me', 'look')",25
"('room', 'there')",10
"('there', 'for')",6
"('restaurant', 'option')",1
"('room', 'here?')",1
"('other', 'nearby')",1
"('nearby', 'options?')",1
"('a', 'place?')",1
"('book', 'for')",2
"('any', 'additional')",22
"('additional', 'information?')",7
"('still', 'interested')",16
"('to', 'plan')",1
"('plan', 'a')",1
"('a', 'trip')",1
"('trip', 'there?')",1
"('for', 'me')",14
"('me', 'today?')",3
"(""let's"", 'find')",1
"('about', 'thanh')",2
"('thanh', 'binh?')",2
"('try', 'somewhere')",4
"('somewhere', 'else?')",20
"('information', 'i')",17
"('find', 'for')",15
"('yes,', 'the')",3
"('the', 'gandhi')",1
"('gandhi', 'serves')",1
"('serves', 'alcohol')",1
"('alcohol', 'according')",1
"('according', 'to')",13
"('to', 'guest')",2
"('guest', 'reviews,')",2
"('reviews,', 'would')",2
"('a', 'delivery')",1
"('delivery', 'order')",1
"('order', 'or')",1
"('to', 'explore')",22
"('explore', 'more')",1
"('a', 'higher')",2
"('higher', 'rating')",2
"('rating', 'for')",2
"('for', 'indoor')",2
"('indoor', 'decor?')",3
"('about', 'meghna?')",3
"('with', 'lower')",12
"('lower', 'prices?')",12
"('help', 'in')",8
"('to', 'continue')",7
"('continue', 'with')",6
"('what', 'is')",4
"('is', 'your')",4
"('your', 'budget?')",4
"('reservation', 'now')",1
"('have', 'more')",8
"('more', 'questions?')",8
"('table', 'now?')",11
"('a', 'booking')",15
"('booking', 'for')",9
"('table', 'or')",12
"('or', 'look')",13
"('for', 'something')",19
"('something', 'else?')",27
"('that', 'still')",10
"('still', 'work')",5
"('need', 'additional')",2
"('additional', 'information')",5
"('information', 'or')",10
"('or', 'keep')",5
"('else', ""you'ld"")",1
"(""you'ld"", 'like')",1
"('additional', 'questions')",14
"('about', 'cityroomz?')",2
"('be', 'interested')",23
"('in', 'any')",1
"('hotels', 'in')",2
"('the', 'area?')",2
"('that', 'okay')",3
"('okay', 'with')",2
"('with', 'you?')",3
"('book', 'that')",10
"('that', 'for')",8
"('has', 'better')",3
"('better', 'reviews')",5
"('reviews', 'on')",3
"('the', 'noise')",1
"('noise', 'level?')",1
"('sound', 'like')",10
"('like', 'something')",2
"('something', 'you')",1
"('would', 'be')",1
"('interested', 'in?')",3
"('book', 'this')",7
"('this', 'for')",7
"('about', 'either')",16
"('either', 'of')",12
"('of', 'them?')",16
"('what', 'do')",3
"('reservation', 'there')",25
"('with', 'something')",4
"('the', 'allenbell')",3
"('allenbell', 'or')",1
"('me', 'check')",10
"('this', 'location')",6
"('location', 'for')",10
"('can', 'answer')",23
"('to', 'me')",5
"('me', 'find')",3
"('place', 'or')",11
"('reservation', 'here?')",1
"('i', 'assist')",6
"('else', 'can')",11
"('i', 'do')",4
"('do', 'for')",20
"('to', 'you?')",81
"('table', 'at')",17
"('at', 'either')",2
"('of', 'those?')",1
"('the', 'dojo')",4
"('dojo', 'noodle')",7
"('noodle', 'bar?')",7
"('your', 'desired')",2
"('desired', 'date?')",1
"('other', 'assistance')",2
"('assistance', 'i')",1
"('can', 'provide')",2
"('provide', 'you')",2
"('you', 'today?')",28
"('another', 'location')",10
"('location', '?')",1
"('look', 'into')",20
"('into', 'the')",2
"('the', 'portion')",4
"('portion', 'size')",1
"('size', 'a')",1
"('a', 'little')",7
"('little', 'further?')",2
"('with', 'anymore')",1
"('anymore', 'information?')",4
"('sounds', 'alright')",1
"('alright', 'to')",1
"('try', 'another')",19
"('chinese', 'restaurant?')",1
"('which', 'one')",4
"('one', 'sounds')",2
"('sounds', 'better')",2
"('better', 'to')",2
"('i', 'suggest')",2
"('suggest', 'we')",1
"('look', 'elsewhere,')",1
"('elsewhere,', 'what')",1
"('you', 'think?')",1
"('or', 'check')",19
"('out', 'a')",14
"('different', 'place?')",14
"('how', 'does')",11
"('sound', 'to')",10
"('know', 'any')",3
"('other', 'things')",1
"('things', 'about')",1
"('restaurant', 'today?')",1
"('sound', 'okay')",4
"('okay', 'to')",2
"('better', 'portion')",2
"('portion', 'reviews?')",1
"('explore', 'other')",8
"('other', 'locations?')",4
"('about', 'saigon')",2
"('saigon', 'city?')",1
"('may', 'i')",14
"('hotel', 'for')",9
"('reservation', '?')",2
"('want', 'anymore')",1
"('a', 'time')",2
"('time', ""that's"")",1
"(""that's"", 'available?')",1
"('you', 'book')",5
"('book', 'the')",17
"('the', 'gonville')",8
"('gonville', 'hotel?')",8
"('like', 'information')",7
"('information', 'on?')",2
"('better', 'decor?')",5
"('book', 'arbury')",1
"('arbury', 'lodge')",3
"('lodge', 'guesthouse?')",3
"('your', 'stay?')",9
"('about', 'royal')",5
"('royal', 'standard?')",3
"('make', 'you')",21
"('the', 'golden')",1
"('golden', 'wok?')",2
"('with', 'or')",1
"('you', 'before')",1
"('before', 'making')",4
"('on', 'this')",1
"('make', 'reservation')",1
"('reservation', 'some')",2
"('some', 'place')",7
"('place', 'else?')",6
"('what', 'accommodations')",1
"('accommodations', 'are')",1
"('for', 'with')",1
"('with', 'your')",3
"('sounds', 'nice,')",5
"('nice,', 'eh?')",2
"('that', 'offers')",2
"('offers', 'more')",2
"('more', 'variety?')",1
"('another', 'japanese')",1
"('japanese', 'restaurant?')",1
"('or', 'are')",5
"('you', 'ready')",2
"('ready', 'to')",3
"('it', 'now?')",3
"('about', 'your')",8
"('your', 'upcoming')",8
"('upcoming', 'reservation?')",3
"('like', 'additional')",2
"('about', 'gonville?')",1
"('hotel', 'or')",1
"('into', 'it')",2
"('a', 'bit')",4
"('bit', 'further?')",1
"('about', 'dojo')",3
"('for', 'others?')",1
"('out', 'more')",15
"('their', 'portions?')",2
"('like', 'the')",16
"('the', 'phone')",7
"('phone', 'number')",7
"('number', 'to')",3
"('to', 'the')",4
"('hotel', 'so')",5
"('so', 'that')",6
"('you', 'can')",8
"('can', 'inquire')",1
"('inquire', 'directly')",1
"('directly', 'with')",1
"('the', 'rooms')",7
"('rooms', 'there')",1
"('there', 'are')",2
"('are', 'said')",3
"('said', 'to')",4
"('be', 'small')",1
"('small', 'according')",1
"('to', 'one')",3
"('one', 'guest')",2
"('guest', 'reviewer,')",2
"('reviewer,', 'would')",1
"('look', 'somewhere')",11
"('work', 'or')",11
"('find', 'an')",4
"('an', 'alternative')",2
"('alternative', 'location?')",1
"('either', 'restaurant?')",3
"('place', ""that's"")",2
"(""that's"", 'got')",2
"('got', 'a')",2
"('a', 'great')",3
"('great', 'view?')",2
"('that', 'a')",3
"('a', 'deal-breaker?')",1
"('continue', 'to')",2
"('the', 'room?')",3
"('more', 'or')",2
"('check', 'elsewhere?')",1
"('explore', 'some')",13
"('ratings', 'for')",2
"('for', 'service?')",1
"('i', 'make')",12
"('reservation', 'or')",15
"('or', 'is')",7
"('one', 'would')",2
"('reservation', 'at?')",1
"('in', 'getting')",1
"('getting', 'a')",1
"('i', 'try')",11
"('try', 'something')",6
"('at', ""hobson's"")",1
"(""hobson's"", 'house?')",1
"('yes,', 'they')",1
"('they', 'serve')",1
"('serve', 'alcoholic')",1
"('alcoholic', 'beverages')",1
"('beverages', 'at')",1
"('at', ""nando's"")",1
"(""nando's"", 'restaurant,')",1
"('restaurant,', 'do')",1
"('look', 'a')",1
"('little', 'further')",1
"('further', 'for')",1
"('for', 'more')",4
"('on', ""nando's"")",1
"(""nando's"", 'food')",1
"('food', 'portions?')",3
"('royal', 'spice,')",2
"('spice,', 'or')",2
"('on', 'availability?')",6
"('give', 'the')",2
"('the', 'gourmet')",2
"('gourmet', 'burger')",2
"('burger', 'kitchen')",1
"('kitchen', 'a')",1
"('to', 'double')",2
"('double', 'check')",1
"('check', 'for')",3
"('a', 'deal-breaker')",2
"('deal-breaker', 'for')",2
"('at', 'arbury')",1
"('with', 'making')",3
"('reservation', 'still?')",3
"('anything', 'more?')",2
"('days', 'would')",2
"('be', 'staying?')",1
"('find', 'some')",3
"('other', 'options')",7
"('options', 'to')",1
"('to', 'explore?')",1
"('little', 'more')",3
"('still', 'interested?')",6
"('one', 'person')",2
"('person', 'said')",2
"('said', 'it')",1
"('it', 'was')",3
"('was', 'nice')",1
"('nice', 'and')",1
"('and', 'peaceful')",1
"('peaceful', 'for')",1
"('for', 'them')",1
"('them', 'though,')",1
"('though,', 'do')",1
"('the', 'ashley')",1
"('ashley', 'for')",1
"('make', 'the')",3
"('the', 'booking?')",5
"('check', 'one')",1
"('options', 'for')",4
"('at', 'acorn')",3
"('acorn', 'guest')",9
"('what', 'nights')",1
"('nights', 'were')",1
"('were', 'you')",2
"('you', 'planning')",1
"('planning', 'to')",1
"('stay', 'and')",1
"('and', ""what's"")",1
"(""what's"", 'the')",1
"('the', 'size')",1
"('size', 'of')",1
"('of', 'your')",1
"('try', 'it?')",5
"('ahead', 'with')",4
"('better', 'staff')",5
"('staff', 'ratings?')",1
"('i', 'keep')",5
"('want', 'the')",1
"('the', 'reservation?')",3
"('reservation', 'to')",4
"('to', 'dine')",2
"('dine', 'there?')",2
"('need', 'anymore')",2
"('nice,', 'right?')",3
"('a', 'problem?')",7
"('like', 'it')",3
"('it', 'would')",1
"('would', 'work')",1
"('want', 'information')",1
"('on', 'anything')",6
"('this', 'location?')",12
"('that', 'something')",1
"('something', 'that')",2
"('like', 'some')",35
"('some', 'more')",33
"('on', 'la')",1
"('la', 'tasca?')",2
"('other', 'suggestions?')",1
"('place', 'entirely?')",1
"('the', 'chiquito')",1
"('chiquito', 'restaurant')",1
"('restaurant', 'bar?')",1
"('if', ""there's"")",2
"(""there's"", 'a')",2
"('a', 'larger')",9
"('larger', 'room')",7
"('room', 'available?')",10
"('about', 'wagamama?')",4
"('the', 'cambridge')",4
"('cambridge', 'belfry?')",2
"('about', 'kymmoy')",1
"('kymmoy', 'that')",1
"('if', 'i')",1
"('time', 'that')",1
"('that', 'works?')",1
"('other', 'restaurants')",1
"('restaurants', 'in')",1
"('can', 'tell')",13
"('tell', 'you')",23
"('about', 'yu')",2
"('yu', 'garden')",1
"('garden', 'or')",1
"('or', 'any')",3
"('other', 'facility?')",1
"('the', 'nirala?')",2
"('the', 'acorn')",9
"('try', 'them?')",5
"('the', 'grafton')",1
"('grafton', 'hotel')",2
"('hotel', 'has')",2
"('has', 'nice')",1
"('nice', 'interior')",1
"('interior', 'decor,')",1
"('decor,', 'people')",1
"('people', 'seem')",1
"('seem', 'to')",2
"('to', 'like')",2
"('it', 'do')",1
"('still', 'be')",7
"('at', 'meze')",1
"('meze', 'bar?')",3
"('the', 'alexander')",3
"('alexander', 'b&b?')",2
"('i', 'anwwer')",1
"('anwwer', 'any')",1
"('room', 'somewhere')",2
"('still', 'interested,')",7
"('interested,', 'or')",7
"('different', 'hotel?')",3
"('i', 'am')",1
"('am', 'not')",1
"('not', 'sure,')",1
"('sure,', 'but')",1
"('but', 'the')",1
"('hotel', 'du')",1
"('du', 'vin')",1
"('vin', 'and')",1
"('and', 'bistro')",1
"('bistro', 'serves')",1
"('serves', 'a')",1
"('a', 'full')",1
"('full', 'bar')",1
"('bar', 'of')",1
"('of', 'alcohol,')",1
"('alcohol,', 'do')",1
"('about', 'autumn')",1
"('autumn', 'house?')",1
"('about', 'pizza')",5
"('pizza', 'hut')",5
"('hut', 'cherry')",1
"('cherry', 'hinton?')",1
"('that', 'ok')",1
"('ok', 'with')",2
"('about', 'anything')",1
"('the', 'alpha')",1
"('alpha', 'milton')",1
"('milton', 'guest')",1
"('house', 'has')",4
"('has', 'a')",4
"('better', 'ratio,')",1
"('ratio,', 'though,')",1
"('though,', 'so')",1
"('so', 'maybe')",1
"('maybe', 'try')",1
"('try', 'that')",2
"('that', 'place?')",1
"('interested', 'or')",8
"('at', 'kirkwood')",1
"('kirkwood', 'house?')",4
"('can', 'do')",20
"('better', 'prices?')",3
"('out', 'any')",4
"('information', 'for')",11
"('the', 'archway?')",2
"('i', 'provide')",3
"('provide', 'any')",3
"('with', 'booking?')",4
"('find', 'any')",7
"('to', 'help')",21
"('with', 'everything')",1
"('everything', 'else?')",1
"('to', 'proceed')",4
"('proceed', 'with')",4
"('we', 'book')",2
"('the', 'carolina')",2
"('carolina', 'bed')",2
"('bed', 'and')",4
"('and', 'breakfast?')",3
"('into', 'some')",8
"('other', 'hotel')",1
"('hotel', 'options?')",1
"('better', 'location?')",5
"('another', 'restaurant?')",7
"('i', 'tell')",10
"('you', 'anything')",5
"('about', 'it')",2
"('it', 'or')",4
"('i', 'go')",11
"('the', 'guesthouse?')",1
"('about', 'this?')",2
"('there', 'today?')",4
"('questions', 'to')",4
"('you', 'choose?')",1
"('give', 'them')",11
"('them', 'a')",12
"('sound', 'or')",1
"('and', 'make')",6
"('further', 'questions')",4
"('a', 'large')",10
"('large', 'room')",5
"('royal', 'spice?')",3
"('else', 'would')",12
"('to', 'do')",3
"('do', 'that?')",3
"('booking', 'there?')",2
"('the', 'guesthouse')",2
"('guesthouse', 'for')",4
"('is', 'their')",1
"('their', 'anything')",1
"('into', 'another')",6
"('more', 'affordable')",11
"('affordable', 'prices?')",4
"('still', 'work,')",5
"('work,', 'or')",7
"('a', 'new')",1
"('new', 'reservation?')",1
"('to', 'you')",3
"('with', 'higher')",9
"('higher', 'ratings?')",6
"('a', 'comparable')",8
"('comparable', 'restaurant')",1
"('at', 'da')",1
"('da', 'vinci')",3
"('vinci', 'pizzeria?')",3
"('a', 'more')",15
"('affordable', 'restaurant?')",2
"('about', 'alpha-milton')",1
"('alpha-milton', 'guest')",2
"('to', 'to')",2
"('their', 'entree')",1
"('entree', 'sizes?')",1
"('location', 'and')",1
"('and', 'cancel')",2
"('cancel', 'your')",2
"('information', 'you')",7
"('for', 'an')",12
"('an', 'different')",1
"('different', 'hotel')",1
"('be', 'an')",2
"('an', 'issue?')",1
"('more', 'bout')",2
"('bout', ""darry's?"")",1
"('your', 'budge?')",1
"('at', 'allenbell?')",1
"('like', 'for')",8
"('to', 'book?')",10
"('there', 'anyting')",2
"('anyting', 'else')",2
"('however,', 'according')",1
"('the', 'reviews')",4
"('reviews', 'i')",3
"('i', 'have')",2
"('have', 'on')",2
"('on', 'hand')",2
"('hand', 'for')",2
"('for', 'that')",1
"('that', 'location,')",1
"('location,', 'the')",2
"('rooms', 'are')",4
"('are', 'kept')",1
"('kept', 'pretty')",1
"('pretty', 'clean..')",1
"('clean..', 'sounds')",1
"('other', 'questions,')",6
"('questions,', 'or')",6
"('or', 'find')",4
"('on', 'them?')",5
"('the', 'address?')",1
"('at', 'royal')",3
"('on', 'eraina?')",1
"('the', 'place')",3
"('i', 'please')",1
"('please', 'get')",1
"('get', 'the')",1
"('the', 'day')",1
"('day', 'and')",1
"('and', 'time')",1
"('time', 'you')",1
"('you', 'wish')",1
"('wish', 'to')",1
"('to', 'reserve?')",2
"('the', 'menu')",2
"('menu', 'at')",2
"('at', 'meghna?')",2
"('option', 'instead?')",1
"('there', 'today')",2
"('today', 'or')",4
"('on', 'any')",3
"('any', 'of')",14
"('the', 'restaurants?')",3
"('yu', 'garden?')",2
"('you', 'instead?')",2
"('that', 'okay?')",5
"('comparable', 'place')",7
"('a', 'third')",1
"('third', 'option')",1
"('they', 'can')",1
"('provide', 'a')",1
"('a', 'mattress')",1
"('mattress', 'for')",1
"('your', 'needs?')",3
"('can', 'we')",1
"('we', 'book?')",1
"('in', 'reserving')",1
"('reserving', 'a')",1
"('at', 'a')",3
"('different', 'dining')",1
"('dining', 'option?')",2
"('confusing', 'huh?')",1
"('the', 'oak')",2
"('oak', 'bistro?')",2
"('that', 'states')",1
"('states', 'they')",1
"('have', 'a')",12
"('a', 'good')",5
"('good', 'view')",1
"('view', 'of')",1
"('the', 'city,')",1
"('city,', 'specifically?')",1
"('to', 'get')",11
"('get', 'a')",5
"('guests', 'find')",1
"('find', 'the')",1
"('the', 'beds')",1
"('beds', 'to')",1
"('be', 'extremely')",1
"('extremely', 'comfortable')",1
"('comfortable', 'at')",1
"('a', 'and')",5
"('and', 'b.')",2
"('b.', 'would')",2
"('questions', 'at')",2
"('an', 'asian')",1
"('asian', 'restaurant')",1
"('go', 'some')",1
"('upcoming', 'stay')",2
"('stay', 'at')",2
"('the', 'gonville?')",4
"('another', 'spot')",1
"('spot', 'for')",2
"('the', 'drink')",1
"('drink', 'options')",1
"('options', 'offered')",1
"('offered', 'there?')",1
"('you', 'make')",6
"('room', 'today?')",1
"('i', 'cancel')",2
"('guest', 'house,')",1
"('house,', 'or')",1
"('do', 'have')",2
"('you', 'any')",4
"('any', 'rooms?')",1
"('that', 'all?')",1
"('which', 'night')",1
"('night', 'would')",2
"('the', 'reservation')",6
"('to', 'start?')",1
"('number', 'for')",4
